Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 02:43:47 PM,1.1396955e+08,1.0,3191.5,2.5960258e+06,1.5052442e+06,0.0,0.0,173.13376,0.0,539.2,134.8,168.5,107.067,6.74003e+07,50025.625,6.1716305e+06,4.337619e+06,7.130369e+06,6.0176815e+06,119970079.0,190428.6968253968,171036.0683673793,1149429.0,34432.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.0,5048,28747.201,5.259644781929334,25000.0,170.79999,0.0,170.79999,113.934326,0.0,0.1,0.4,0.0,0,2351.7,0.05,0.05,0.0,0.85,36.05705229793978,36.0,0.0,0.05,0.0,0.0,2.4305915e+06,0.0,1.0369423e+07,0.0,0.0,0.0,0.0,3276.75,0.0,0.0,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,5428.5,10.42.0.208,5198.6,17.0,16/06/2025 08:38:22 PM,1.2244237e+07,1.0,3291.5,2.5770998e+06,1.5062442e+06,0.0,0.0,168.9825,0.0,549.2,144.8,178.5,107.067,6.740038e+07,50032.367,6.064893e+06,4.2990085e+06,6.649254e+06,5.9832815e+06,18244718.0,154616.25423728817,146594.27587005726,668314.0,74.0,1.2244615e+07,0.0,1.8873838e+06,0.0,3.8518975e+06,0.05,0.0,0.0,0.05,952,29547.201,6.522421041571445,25005.482,144.8,575.2,156.73637,126.92029,168.63520132835197,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,22.03652968036529,31.84873949579832,10.0,0.0,0.0,0.0,2.4278095e+06,0.0,1.0369493e+07,0.0,0.0,3191.5,0.0,3276.75,0.0,3320.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 01:14:52 PM,5.3365356e+07,1.0,3191.5,2.5848655e+06,1.5052442e+06,0.0,0.0,173.13376,0.0,539.2,134.8,168.5,107.067,6.740031e+07,50025.773,6.16672e+06,4.3157855e+06,7.0126525e+06,6.0182225e+06,59365880.0,185518.3750000001,149202.67799271396,1031713.0,34973.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.05,2568,28747.201,5.407146327149535,25000.0,170.79999,575.2,170.79999,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,36.11214953271028,36.0,0.0,0.0,0.0,0.0,2.4287975e+06,0.0,1.0369429e+07,0.0,0.0,3191.5,1.5052442e+06,3276.75,0.0,3522.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 11:44:48 AM,1.1664529e+07,1.0,3191.5,2.5772338e+06,1.5052442e+06,0.0,170.79999,173.13376,0.0,0.0,134.8,168.5,107.067,6.740034e+07,50026.535,6.1447665e+06,0.0,6.6259065e+06,6.0177165e+06,17665051.0,163565.28703703708,122978.0338679975,644967.0,34467.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.05,872,28747.201,6.170375619068409,25000.0,170.79999,575.2,170.79999,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,36.3302752293578,36.0,0.0,0.0,0.0,0.0,2.4269435e+06,0.0,1.0369453e+07,0.0,0.0,3191.5,0.0,3276.75,0.0,3310.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 03:54:28 PM,1.1394024e+08,1.0,3191.5,2.5970338e+06,1.5052442e+06,0.0,0.0,173.13376,0.0,539.2,134.8,168.5,107.067,6.740032e+07,50025.86,6.1634825e+06,4.329587e+06,7.283436e+06,6.0176405e+06,119940762.0,182280.79331307003,163004.37321415782,1302496.0,34391.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.0,5272,28747.201,5.494378966843649,25000.0,170.79999,0.0,170.79999,113.934326,0.0,0.1,0.4,0.0,0,2351.7,0.05,0.05,0.0,0.85,36.0546282245827,36.0,0.0,0.05,0.0,0.0,2.4309275e+06,0.0,1.0369432e+07,0.0,0.0,0.0,0.0,3276.75,0.0,0.0,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.45.0.5-8.8.8.8-0-0-0,10.45.0.5,3276.5,8.8.8.8,3046.6,0.85,17/06/2025 03:44:35 PM,5.39898e+07,11720.051,3191.5,2.5733098e+06,1.5052442e+06,0.0,0.0,137.13376,92.69996,539.2,134.8,168.5,107.067,6.740011e+07,50269.12,5.985222e+06,4.1718358e+06,6.3575475e+06,5.9860715e+06,59990320.0,4020.26001876424,5253.100651010157,376608.0,2822.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.05,0,28747.201,248.7567994303081,25000.0,134.8,539.2,0.0,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,2.4230195e+06,0.0,1.0369231e+07,0.0,0.0,3191.5,0.0,3276.75,0.0,3202.95,2.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,5428.5,10.42.0.208,5198.6,17.0,16/06/2025 11:33:46 PM,1.1999999e+08,1.0,3849.5002,2.5981978e+06,1.5118242e+06,0.0,144.8,169.12347,0.0,549.2,144.8,178.5,107.067,6.7400376e+07,-407.27667,6.064806e+06,4.313722e+06,7.3761025e+06,5.9832815e+06,119972153.0,154404.31531531562,170549.0397228574,1395235.0,73.0,1.1397207e+08,3.998667e+06,0.0,0.0,3.8513035e+06,0.05,0.0,0.0,0.05,6224,34011.2,6.484834572536876,25005.486,144.8,575.2,156.72345,126.894196,167.95792456816724,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,21.938718662952645,31.989717223650384,10.0,0.0,0.0,0.0,0.0,0.0,1.0369507e+07,0.0,2.5782868e+06,0.0,0.0,3276.75,0.0,0.0,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 12:00:14 PM,1.13967416e+08,1.0,3191.5,2.5953418e+06,1.5052442e+06,0.0,0.0,173.13376,0.0,539.2,134.8,168.5,107.067,6.74003e+07,50025.465,6.1775485e+06,4.3626895e+06,8.0338055e+06,6.0174255e+06,119967938.0,196346.87070376432,196106.739315946,2052866.0,34176.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.0,4896,28747.201,5.101362999170662,25000.0,170.79999,0.0,170.79999,113.934326,0.0,0.1,0.4,0.0,0,2351.7,0.05,0.05,0.0,0.85,36.05882352941177,36.0,0.0,0.05,0.0,0.0,2.4266915e+06,0.0,1.0369426e+07,0.0,0.0,0.0,0.0,3276.75,0.0,0.0,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,5428.5,10.42.0.208,5198.6,17.0,17/06/2025 01:27:46 AM,5.292137e+07,1.0,3511.5,2.5854298e+06,1.5084441e+06,0.0,0.0,169.0285,0.0,549.2,144.8,178.5,107.067,6.7400376e+07,50032.246,6.065496e+06,4.3128885e+06,6.877323e+06,5.9832885e+06,58921888.0,155466.7229551452,168693.88123874355,896383.0,89.0,5.292168e+07,0.0,1.9140335e+06,0.0,3.8511755e+06,0.05,0.0,0.0,0.05,3040,31307.201,6.449216291236288,25005.432,144.8,575.2,156.70586,126.89745,168.042551457102,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,21.937142857142856,31.894736842105264,10.0,0.0,0.0,0.0,2.4383395e+06,0.0,1.0369491e+07,0.0,0.0,3191.5,1.5052442e+06,3276.75,0.0,3581.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,5428.5,10.42.0.208,5198.6,17.0,15/08/2025 12:19:23 PM,5.374698e+07,1.0,3191.5,2.5848655e+06,1.5052442e+06,0.0,0.0,173.13376,0.0,539.2,134.8,168.5,107.067,6.740031e+07,50025.74,6.1679125e+06,4.322354e+06,6.86877e+06,6.0177075e+06,59747503.0,186710.9468750001,155771.27810733125,887830.0,34458.0,0.0,3.816061e+06,1.7454501e+06,0.0,3.8167028e+06,0.05,0.0,0.0,0.05,2568,28747.201,5.372609462859058,25000.0,170.79999,575.2,170.79999,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.05,0.0,0.85,36.11214953271028,36.0,0.0,0.0,0.0,0.0,2.4345755e+06,0.0,1.0369424e+07,0.0,0.0,3191.5,1.5052442e+06,3276.75,0.0,3522.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,BRUTEFORCE
