Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.254.7.109-8.8.8.8-35521-54321-17,10.254.7.109,38797.504,8.8.8.8,51274.402,17.0,16/04/2025 11:27:52 AM,6.002806e+06,1.0,3191.5,2.5736398e+06,0.0,514.4,244.8,247.13377,92.69996,539.2,134.8,168.5,107.067,6.75446e+07,-407.27667,5.9823435e+06,4.1666732e+06,5.982146e+06,5.9843275e+06,2284.0,1142.0,90.50966799187808,1206.0,1078.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,24,28747.201,1313.4851138353763,25000.0,0.0,649.2,244.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.05,0.85,146.66666666666666,110.0,0.0,0.0,0.0,0.0,2.4230195e+06,4143.45,1.0369231e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3204.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.15.199.2-8.8.8.8-64791-54321-17,10.15.199.2,65530.0,8.8.8.8,51274.402,17.0,16/04/2025 11:25:18 AM,6.004246e+06,1.0,3191.5,2.5740295e+06,0.0,548.4,9.2,281.13376,92.69996,539.2,134.8,168.5,107.067,6.759346e+07,-407.27667,5.9821325e+06,4.1666145e+06,5.981912e+06,5.9841435e+06,3724.0,931.0,31.92700006786313,972.0,894.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.0,0.0,0.05,0.0,40,28747.201,1342.6423200859292,25000.0,9.2,0.0,278.80002,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.0,0.85,172.8,144.0,0.0,0.0,0.0,0.05,2.4237395e+06,4148.4497,1.0562571e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3206.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.205.224.109-8.8.8.8-18945-54321-17,10.205.224.109,22221.5,8.8.8.8,51274.402,17.0,16/04/2025 11:28:47 AM,6.001351e+06,1.0,3191.5,2.5735718e+06,0.0,535.4,265.80002,268.13376,92.69996,539.2,134.8,168.5,107.067,6.771616e+07,-407.27667,5.9820305e+06,4.1665828e+06,5.981769e+06,5.9840785e+06,829.0,829.0,0.0,829.0,829.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,16,28747.201,2412.5452352231605,25000.0,0.0,670.2,265.80002,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.05,0.85,196.5,131.0,0.0,0.05,0.0,0.0,2.4230195e+06,4143.45,1.0369231e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3203.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.64.38.253-8.8.8.8-36459-54321-17,10.64.38.253,39735.504,8.8.8.8,51274.402,17.0,16/04/2025 11:29:22 AM,6.005175e+06,1.0,3191.5,2.5739248e+06,0.0,527.4,257.80002,260.13376,92.69996,539.2,134.8,168.5,107.067,6.753229e+07,-407.27667,5.9823645e+06,4.1669682e+06,5.982657e+06,5.9840765e+06,4653.0,1163.25,385.4593579959717,1717.0,827.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,40,28747.201,1074.575542660649,25000.0,0.0,662.2,257.80002,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.05,0.85,147.6,123.0,0.0,0.0,0.0,0.0,2.4236345e+06,4148.4497,1.0501403e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3206.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.26.253.151-8.8.8.8-11878-54321-17,10.26.253.151,15154.5,8.8.8.8,51274.402,17.0,16/04/2025 11:26:59 AM,6.0121745e+06,1.0,3191.5,2.5739798e+06,0.0,471.40002,201.8,204.13377,92.69996,539.2,134.8,168.5,107.067,6.745762e+07,-407.27667,5.982496e+06,4.1667805e+06,5.982687e+06,5.9842455e+06,11652.0,1294.6666666666667,197.7555308961041,1747.0,996.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,80,28747.201,858.2217645039478,25000.0,0.0,606.2,201.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.05,0.85,73.7,67.0,0.0,0.0,0.0,0.0,2.4236895e+06,4153.45,1.0426731e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3211.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.253.127.19-8.8.8.8-31675-54321-17,10.253.127.19,34951.5,8.8.8.8,51274.402,17.0,16/04/2025 11:31:53 AM,6.008916e+06,1.0,3191.5,2.5744158e+06,0.0,562.4,292.8,295.13376,92.69996,539.2,134.8,168.5,107.067,6.753188e+07,-407.27667,5.9826e+06,4.1667028e+06,5.982551e+06,5.9845045e+06,8394.0,1399.0,120.20815280171308,1611.0,1255.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,56,28747.201,833.9289969025494,25000.0,23.200003,697.2001,292.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.05,0.85,180.57142857142856,158.0,0.0,0.05,0.0,0.0,2.4241255e+06,4150.45,1.0500991e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3208.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.149.157.109-8.8.8.8-53930-54321-17,10.149.157.109,57206.5,8.8.8.8,51274.402,17.0,16/04/2025 11:25:35 AM,6.0038e+06,1.0,3191.5,2.5736058e+06,0.0,478.40002,0.0,211.13376,92.69996,539.2,134.8,168.5,107.067,6.749042e+07,-407.27667,5.982294e+06,4.1667275e+06,5.9821995e+06,5.9842555e+06,3278.0,1092.6666666666667,144.94596694400758,1260.0,1006.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.0,0.0,0.05,0.0,32,28747.201,1220.2562538133006,25000.0,0.0,0.0,208.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.0,0.85,92.5,74.0,0.0,0.0,0.0,0.05,2.4233155e+06,4147.45,1.0459529e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3205.95,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.206.105.177-8.8.8.8-54339-54321-17,10.206.105.177,57615.504,8.8.8.8,51274.402,17.0,16/04/2025 11:22:57 AM,6.0065825e+06,1.0,3191.5,2.5742615e+06,0.0,540.39996,1.1999934,273.13376,92.69996,539.2,134.8,168.5,107.067,6.755722e+07,-407.27667,5.9822115e+06,4.1666998e+06,5.982158e+06,5.9841125e+06,6060.0,1010.0,117.16654812701448,1218.0,863.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.0,0.0,0.05,0.0,56,28747.201,1155.1155115511551,25000.0,1.1999934,0.0,270.80002,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.0,0.85,155.42857142857142,136.0,0.0,0.0,0.0,0.05,2.4239715e+06,4150.45,1.0526326e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3208.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.51.63.3-8.8.8.8-1705-54321-17,10.51.63.3,0.0,8.8.8.8,51274.402,17.0,16/04/2025 11:32:08 AM,6.005203e+06,1.0,3191.5,2.5736278e+06,0.0,510.4,240.8,243.13376,92.69996,539.2,134.8,168.5,107.067,6.746805e+07,-407.27667,5.983542e+06,4.1666795e+06,1.9999999,5.9855215e+06,4681.0,2340.5,96.873629022557,2409.0,2272.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.05,0.0,0.05,0.05,24,28747.201,640.888698995941,25000.0,0.0,645.2,240.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.0,0.0,0.05,0.85,141.33333333333334,106.0,0.0,0.0,0.0,0.0,2.4230195e+06,4143.45,1.0369231e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3204.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
10.122.127.53-8.8.8.8-64234-54321-17,10.122.127.53,65530.0,8.8.8.8,51274.402,17.0,16/04/2025 11:26:51 AM,6.003604e+06,1.0,3191.5,2.5735348e+06,0.0,479.4,0.0,212.13376,92.69996,539.2,134.8,168.5,107.067,6.747312e+07,-407.27667,5.9827425e+06,4.1666125e+06,5.982502e+06,5.9847695e+06,3082.0,1541.0,29.698484809834994,1562.0,1520.0,0.0,3.816061e+06,1.7454501e+06,5.83354e+06,3.8167028e+06,0.0,0.0,0.05,0.0,24,28747.201,973.3939000648928,25000.0,0.0,0.0,209.8,113.934326,0.0,0.1,0.4,0.1,0,2351.7,0.05,0.0,0.0,0.85,100.0,75.0,0.0,0.0,0.0,0.0,2.4230195e+06,4143.45,1.0369231e+07,3203.0,0.0,3191.5,1.5052442e+06,3276.75,3276.75,3204.9502,10.2,5.5988265e+06,1.7322469e+06,0.0,0.0,0.0,3.794677e+06,0.0,0.0,GTP_ENCAPSULATION
