Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.45.0.40-10.45.0.59-33974-8080-6,10.45.0.40,30697.498,10.45.0.59,5033.4,6.8500004,24/08/2025 05:38:46 PM,6.890189e+07,3205.95,3191.5,2.5733098e+06,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.406,3.1470004e+07,4.73483e+07,6.789678e+07,-46188.0,74902414.0,37451207.0,51514882.85669548,73877730.0,1024684.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,96,28747.201,0.0400521136742001,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,2.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3204.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,0.0,29.800001,0.0,0.0,0.0,0.0,73877730.0,0.0,73877730.0,73877730.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-35746-8080-6,10.45.0.40,32469.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:38:47 PM,3.4084896e+07,3204.95,3191.5,2.5733098e+06,0.0,404.4,134.8,0.0,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.414,3.4104216e+07,0.0,3.410448e+07,3.410217e+07,40085418.0,40085418.0,0.0,40085418.0,40085418.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,64,28747.201,0.0498934550214743,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,1.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3205.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,40085418.0,0.0,40085418.0,40085418.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43174-8080-6,10.45.0.40,39897.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:40:26 PM,7.925933e+07,3205.95,3191.5,2.5733098e+06,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.4,3.6648724e+07,5.4686756e+07,7.8264584e+07,-46188.0,85259850.0,42629925.0,58853338.855225965,84245520.0,1014330.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,96,28747.201,0.035186550293016,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,2.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3204.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,0.0,29.800001,0.0,0.0,1014330.0,1014330.0,84245520.0,0.0,84245520.0,84245520.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-53324-8080-6,10.45.0.40,50047.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:39:31 PM,1.9170502e+07,3204.95,3191.5,2.5733098e+06,1.5052442e+06,404.4,134.8,137.13376,92.69996,539.2,134.8,168.5,107.067,6.740011e+07,50020.44,1.9189824e+07,0.0,1.9190086e+07,1.9187776e+07,25171025.0,25171025.0,0.0,25171025.0,25171025.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,64,28747.201,0.0794564385041928,25000.0,0.0,539.2,134.8,113.934326,0.0,0.1,1.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3205.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,25171025.0,0.0,25171025.0,25171025.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43888-8080-6,10.45.0.40,40611.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:40:08 PM,9.7608904e+07,3209.95,3191.5,2.5733098e+06,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.434,1.1287036e+07,7.8274195e+06,2.671875e+07,-46188.0,103609423.0,17268237.166666668,11994002.198566873,32699691.0,1050809.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,224,28747.201,0.0675614224779535,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,6.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.05,0.05,2.4230195e+06,4143.45,1.0369231e+07,3204.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,1050809.0,1050809.0,20511722.8,6.2511495e+06,32699691.0,10752005.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48324-8080-6,10.45.0.40,45047.5,10.45.0.59,5033.4,5.15,24/08/2025 05:41:34 PM,5.684918e+07,3205.95,3191.5,2.5733098e+06,0.0,404.4,134.8,0.0,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.414,2.5443652e+07,3.1931975e+06,3.0648064e+07,2.0237452e+07,62849703.0,31424851.5,7359780.217730723,36629002.0,26220701.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,96,28747.201,0.0477329224610655,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,2.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3204.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,31424851.5,3.5651035e+06,36629002.0,26220701.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48708-8080-6,10.45.0.40,45431.5,10.45.0.59,5033.4,5.15,24/08/2025 05:39:49 PM,9.977102e+07,3204.95,3191.5,2.5733098e+06,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.383,9.9790344e+07,0.0,9.97906e+07,9.9788296e+07,105771548.0,105771548.0,0.0,105771548.0,105771548.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,64,28747.201,0.0189086766509269,0.0,0.0,539.2,134.8,0.0,0.0,0.1,1.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3205.0,2.5733098e+06,3191.5,0.0,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,105771548.0,0.0,105771548.0,105771548.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-51608-8080-6,10.45.0.40,48331.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:42:45 PM,3.8292604e+07,3204.95,3191.5,2.5733098e+06,0.0,404.4,134.8,0.0,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.41,3.8311924e+07,0.0,3.8312188e+07,3.8309876e+07,44293126.0,44293126.0,0.0,44293126.0,44293126.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,64,28747.201,0.0451537333355067,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,1.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3205.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,44293126.0,0.0,44293126.0,44293126.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-34026-8080-6,10.45.0.40,30749.5,10.45.0.59,5033.4,6.8500004,24/08/2025 05:40:31 PM,1.0632785e+08,3206.95,3191.5,2.5733098e+06,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,0.0,107.067,6.740011e+07,50020.402,3.1461588e+07,1.2395656e+06,3.4994012e+07,2.523596e+07,112328372.0,37442790.66666666,5406148.082302439,40974951.0,31219209.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.0,0.05,128,28747.201,0.0356098813574899,0.0,0.0,539.2,134.8,113.934326,0.0,0.1,3.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.05,0.05,2.4230195e+06,4143.45,1.0369231e+07,3204.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,37442790.66666666,1.611471e+06,40974951.0,31219209.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-39096-8080-6,10.45.0.40,35819.496,10.45.0.59,5033.4,6.8500004,24/08/2025 05:40:23 PM,5.5846565e+06,3204.95,3191.5,0.0,0.0,404.4,134.8,137.13376,92.69996,539.2,134.8,168.5,107.067,6.740011e+07,50020.535,5.603978e+06,0.0,5.6042385e+06,5.6019295e+06,11585179.0,11585179.0,0.0,11585179.0,11585179.0,0.0,0.0,1.7454501e+06,5.83354e+06,-12832.0,0.05,0.0,0.05,0.05,64,28747.201,0.1726343632670673,25000.0,0.0,539.2,134.8,113.934326,0.0,0.1,1.6,0.1,0,2351.7,0.0,0.0,0.05,0.85,0.0,0.0,0.0,0.0,0.0,0.05,2.4230195e+06,4143.45,1.0369231e+07,3205.0,2.5733098e+06,3191.5,1.5052442e+06,62003.25,3276.75,3202.95,29.800001,0.0,0.0,0.0,0.0,11585179.0,0.0,11585179.0,11585179.0,INTRA-UPF-DOS
