Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.64-80.249.99.148-38064-80-6,10.42.0.64,44617.0,80.249.99.148,0.0,7.7,07/04/2025 12:13:27 PM,1.2001077e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1962434e+07,8.3331655e+06,1.1961912e+07,1.1966531e+07,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,-12832.0,0.0,0.1,0.1,0.1,40,0.0,62500.0,0.0,269.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.1197653e+07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-32910-80-6,10.42.0.64,26356.998,80.249.99.148,0.0,7.7,07/04/2025 12:52:27 PM,1.201083e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.59998,1078.4,1011.00006,0.0,-2296.2112,-407.27667,1.1965664e+07,0.0,1.1968721e+07,-46188.0,9785.0,9785.0,0.0,9785.0,9785.0,0.0,0.0,0.0,0.0,-12832.0,0.0,0.1,0.0,0.1,40,0.0,204.3944813490036,0.0,269.6,269.59998,269.6,510.4614,545131.2,0.0,0.0,1.8,1,0.0,0.0,0.1,0.0,0.0,674.0,0.0,1348.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-41626-6,80.249.99.148,6633.0,10.42.0.64,35532.8,7.7,07/04/2025 12:39:21 PM,1.2001548e+07,1.0,0.0,0.0,0.0,539.2,1078.4,1073.7325,0.0,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1962528e+07,0.0,1.1962211e+07,1.1966501e+07,172.0,57.33333333333333,95.84014468547788,168.0,2.0,0.0,0.0,0.0,0.0,-12832.0,0.9,0.1,0.0,0.1,128,0.0,7952.286282306163,0.0,269.6,269.59998,853.73334,322.45004,302850.6666666666,0.0,0.0,0.8,2,0.0,0.0,0.1,0.0,0.0,1348.0,1348.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0610375e+07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-10.42.0.99-33885-5201-6,10.42.0.64,40438.0,10.42.0.99,0.0,7.7,07/04/2025 11:30:34 AM,1.2045134e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1965794e+07,0.0,1.2002279e+07,1.1966512e+07,43958.0,7326.333333333333,16759.170166409393,41516.0,13.0,0.0,0.0,0.0,0.0,-12832.0,0.9,0.1,0.1,0.1,224,0.0,158.76976116491642,0.0,269.6,0.0,0.0,0.0,11651.885714285714,1.8,0.0,0.0,8,0.0,0.0,0.1,0.0,0.0,44.785714285714285,41.85714285714285,47.57142857142857,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-40412-6,80.249.99.148,6633.0,10.42.0.64,34318.797,7.7,07/04/2025 11:30:42 AM,1.2009357e+07,1.0,0.0,0.0,0.0,1887.2001,1078.4,1579.2324,512.25635,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1963441e+07,0.0,1.1969417e+07,1.1966501e+07,7891.0,1127.2857142857144,2827.5546982204555,7537.0,2.0,0.0,0.0,0.0,0.0,-12832.0,0.9,0.1,0.1,0.1,256,0.0,962.4639076034648,0.0,269.6,1617.6001,1348.0,624.68146,726841.5999999999,0.0,0.0,0.8,6,0.0,0.0,0.1,0.0,0.0,1797.3333333333333,1853.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.140-42202-443-6,10.42.0.64,48755.0,151.101.129.140,0.0,7.7,07/04/2025 11:30:46 AM,1.2001076e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1962433e+07,0.0,1.1961911e+07,1.196653e+07,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,-12832.0,0.0,0.1,0.0,0.1,40,0.0,64516.12903225806,0.0,269.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,1.1197653e+07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.3.5-55258-443-6,10.42.0.64,61811.0,151.101.3.5,0.0,7.7,07/04/2025 12:24:35 PM,1.263774e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.6001,0.0,0.0,494.95132,-2296.2112,-407.27667,1.1985142e+07,8.405416e+06,1.2247619e+07,1.19665e+07,604613.0,46508.6923076923,103179.47111254303,286316.0,17.0,0.0,0.0,0.0,0.0,7.6334065e+06,0.0,0.1,0.1,0.1,456,0.0,21.988550247763843,0.0,269.6,1617.6001,0.0,281.5899,259548.03333333347,1.8,2.8,0.0,13,0.0,0.0,0.1,0.0,0.0,152.0344827586207,22.071428571428573,273.3333333333333,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58726.5,0.0,0.0,27.6,1.1197653e+07,3.4644938e+06,0.0,0.0,0.0,7.589354e+06,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-34262-6,80.249.99.148,6633.0,10.42.0.64,28168.8,7.7,07/04/2025 12:21:50 PM,1.2001745e+07,1.0,0.0,0.0,0.0,539.2,1078.4,1073.7325,0.0,0.0,0.0,0.0,0.0,-2296.2112,-407.27667,1.1962752e+07,0.0,1.1962577e+07,1.1966502e+07,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.166708e+07,-12832.0,0.0,0.1,0.0,0.1,64,0.0,2857.1428571428573,0.0,269.6,269.59998,741.4,446.13138,454276.0,0.0,0.0,0.8,0,0.0,0.1,0.1,0.0,0.0,1348.0,1348.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-47772-80-6,10.42.0.64,54325.004,80.249.99.148,0.0,7.7,07/04/2025 11:15:43 AM,4.1911996e+07,1.0,0.0,0.0,7.2100475e+06,0.0,0.0,0.0,0.0,2965.6,0.0,1565.9113,456.42584,-2296.2112,-407.27667,1.1966223e+07,0.0,1.2778296e+07,1.19665e+07,29910952.0,12163.86823912161,30697.275181296936,843608.0,14.0,1.7846106e+07,0.0,0.0,0.0,7.6334065e+06,0.0,0.1,0.1,0.1,90212,114385.6,82.24412248730832,0.0,269.6,2965.6,1035.3842,815.54095,1088703.5073473146,0.8,1.2,0.8,3550,3125.6003,0.0,0.1,0.0,0.29999998,1305.1508108798366,0.040650406504065,1902.911189722584,0.1,0.1,0.0,5.374597e+06,0.0,0.0,0.0,0.0,0.0,0.0,58726.5,0.0,0.0,15.6,1.1197653e+07,3.4644938e+06,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.111-43140-443-6,10.42.0.64,49693.0,151.101.129.111,0.0,7.7,07/04/2025 12:45:34 PM,1.2151547e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.371355,269.59998,0.0,0.0,347.7678,-2296.2112,-407.27667,1.1969928e+07,8.3471275e+06,1.2000292e+07,1.1966502e+07,87368.0,21842.0,25367.29933070001,48613.0,55.0,0.0,0.0,0.0,0.0,7.633409e+06,0.0,0.1,0.0,0.1,168,0.0,33.222149871762504,0.0,269.6,269.59998,0.0,266.00784,243914.0000000001,0.8,1.8,0.0,9,0.0,0.0,0.0,0.0,1.3000001,275.5238095238095,135.2,319.375,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58726.5,0.0,0.0,27.6,1.1197653e+07,3.4644938e+06,0.0,0.0,0.0,7.589354e+06,0.0,0.0,BENIGN
