Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.127.119.178-10.45.0.1-0-0-17,10.127.119.178,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 04:34:15 PM,1.2135737e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,101399.39,1.1963143e+07,8.3338205e+06,1.9999999,1.1966619e+07,134692.0,740.065934065934,655.1702710185122,5526.0,120.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,1464,57494.402,1358.6553024678526,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.180.176.82-10.45.0.1-0-0-17,10.180.176.82,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 04:27:38 PM,1.2129024e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,100634.58,1.1964109e+07,8.33558e+06,1.9999999,1.196692e+07,127979.0,1706.3866666666668,2414.30908304394,13119.0,421.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,608,57494.402,593.8474280936716,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.216.134.114-10.45.0.1-0-0-17,10.216.134.114,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 02:19:36 PM,1.2114073e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,100775.07,1.1963781e+07,8.33421e+06,1.9999999,1.1966686e+07,113028.0,1378.390243902439,1044.9632725083202,4866.0,187.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,664,57494.402,734.3313161340552,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.174.22.110-10.45.0.1-0-0-17,10.174.22.110,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 05:11:05 PM,1.2053804e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,103755.734,1.1962673e+07,8.3332405e+06,1.9999999,1.1966575e+07,52759.0,270.55897435897424,75.22639616088897,1054.0,76.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,1568,57494.402,3715.00597054531,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.89.205.206-10.45.0.1-0-0-17,10.89.205.206,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 04:40:35 PM,1.2125956e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,102154.24,1.1962877e+07,8.3334045e+06,1.9999999,1.1966636e+07,124911.0,474.9467680608365,239.1582348105175,1285.0,137.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,2112,57494.402,2113.504815428585,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.45.0.41-10.45.0.1-0-0-0,10.45.0.41,6553.0,10.45.0.1,6093.2,1.7,24/08/2025 12:40:45 PM,1.1999999e+08,3228.0994,0.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,0.0,214.134,1.3480022e+08,100136.46,1.1972849e+07,8.898838e+06,5.9955132e+07,1.1966499e+07,119999886.0,12457.166614761723,617700.647159105,47993257.0,10.0,1.0799732e+08,7.6968805e+06,0.0,3.6346316e+07,7.6334195e+06,0.0,0.1,0.1,0.0,0,57494.402,80.28340960257245,50015.45,269.6,1078.4,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0738462e+07,0.0,0.0,0.0,3.0104885e+06,6553.5,6553.5,6405.9,4.4,1.2390547e+07,0.0,2289993.0,632682.0,27707797.25,2.1665794e+07,47993257.0,15979299.0,DDoS
10.252.6.246-10.45.0.1-0-0-17,10.252.6.246,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 04:17:14 PM,1.2223402e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,102037.52,1.1962905e+07,8.333194e+06,1.9999999,1.1966903e+07,222357.0,501.9345372460501,28.73577167418188,645.0,404.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,3552,57494.402,1996.7889475033392,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.179.95.199-10.45.0.1-0-0-17,10.179.95.199,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 02:25:56 PM,1.2039393e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,101240.27,1.1963255e+07,8.333919e+06,1.9999999,1.1966818e+07,38348.0,852.1777777777777,753.9169018860732,4084.0,319.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,368,57494.402,1199.541045165328,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
10.45.0.48-10.45.0.1-0-0-0,10.45.0.48,6553.0,10.45.0.1,6093.2,1.7,24/08/2025 04:05:06 PM,1.0212639e+08,2710.0996,0.0,5.1466195e+06,3.0104885e+06,808.8,269.6,274.26752,185.39992,1078.4,269.6,337.0,214.134,1.3480022e+08,100164.77,1.1970465e+07,8.804795e+06,5.376345e+07,1.1966502e+07,90125222.0,9887.572353263811,522270.7286617375,41801566.0,10.0,7.81252e+07,7.67583e+06,0.0,3.01397e+07,7.6334185e+06,0.0,0.1,0.1,0.0,0,57494.402,101.14801891907342,50022.895,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,5.1466195e+06,0.0,3.0104885e+06,6553.5,6553.5,6405.9,4.4,1.2140854e+07,0.0,1009298.0,767344.0,20817195.25,2.3425296e+07,41801566.0,5094568.0,DDoS
10.209.31.245-10.45.0.1-0-0-17,10.209.31.245,6553.0,10.45.0.1,6093.2,17.0,24/08/2025 02:21:47 PM,1.2216471e+07,1.0,6383.0,5.1466195e+06,3.0104885e+06,0.0,269.6,274.26752,0.0,1078.4,269.6,337.0,214.134,1.3480022e+08,101168.73,1.1963292e+07,8.3344985e+06,1.9999999,1.1966869e+07,215426.0,890.1900826446271,1333.0561481082202,14273.0,370.0,0.0,7.632122e+06,0.0,0.0,7.6334055e+06,0.1,0.1,0.1,0.0,1944,57494.402,1127.9975490423626,50000.0,269.6,0.0,269.6,227.86865,0.0,0.2,0.8,0.2,0,4703.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.846039e+06,8286.9,2.0738462e+07,0.0,0.0,6383.0,3.0104885e+06,6553.5,6553.5,6405.9,12.4,1.1197653e+07,0.0,0.0,0.0,0.0,7.589354e+06,0.0,0.0,DDoS
