Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.64-80.249.99.148-38064-80-6,10.42.0.64,38064.0,80.249.99.148,80.0,6.0,07/04/2025 12:13:27 PM,31.99977,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,62499.996,31.999908,0.0,31.999998,31.999298,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,40,0.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-32910-80-6,10.42.0.64,32910.0,80.249.99.148,80.0,6.0,07/04/2025 12:52:27 PM,9785.001,2.0,1.9999999,0.0,2696.0,0.0,0.0,0.0,0.0,1348.0,1348.0,1348.0,0.0,275523.75,408.78894,3261.667,3152.8552,6841.0,896.0003,9785.0,9785.0,0.0,9785.0,9785.0,6841.0,6841.0,0.0,6841.0,6840.9995,0.0,0.0,0.0,0.0,40,64.0,204.3944813490036,204.39449,0.0,1348.0,539.2,738.33,545131.2,0.0,0.0,2.0,1,2.0,0.0,0.0,0.0,1.0,674.0,0.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-41626-6,80.249.99.148,80.0,10.42.0.64,41626.0,6.0,07/04/2025 12:39:21 PM,502.99982,4.0,0.99999994,5392.0,0.0,1348.0,1348.0,1348.0,0.0,0.0,0.0,0.0,0.0,1.0719682e+07,9940.358,125.750206,157.62904,331.0,1.9992392,172.0,57.33333333333333,95.84014468547788,168.0,2.0,0.0,0.0,0.0,0.0,-0.000246105,1.0,0.0,0.0,0.0,128,20.0,7952.286282306163,1988.0715,0.0,1348.0,1123.3333,550.3187,302850.6666666666,0.0,0.0,1.0,2,4.0,0.0,0.0,0.0,0.0,1348.0,1348.0,0.0,0.0,0.0,0.0,5392.0,4.0,3.1348836e+07,0.0,0.0,0.0,0.0,509.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-10.42.0.99-33885-5201-6,10.42.0.64,33885.0,10.42.0.99,5201.0,6.0,07/04/2025 11:30:34 AM,44088.996,7.0000005,7.0,293.0,333.0,287.0,0.0,41.857143,108.10709,327.0,0.0,47.57143,123.22454,14198.553,317.53952,3391.4614,11128.268,40399.996,13.001119,43958.0,7326.333333333333,16759.170166409393,41516.0,13.0,43943.0,7323.833,16759.621,41517.0,14.000361,1.0,0.0,0.0,0.0,224,224.0,158.76976116491642,158.76976,0.0,327.0,41.800003,107.9439,11651.885714285714,2.0,0.0,0.0,8,14.0,0.0,0.0,0.0,1.0,44.785714285714285,41.85714285714285,47.57142857142857,0.0,0.0,0.0,626.0,8.0,14245.001,0.0,0.0,0.0,0.0,64.0,63.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-40412-6,80.249.99.148,80.0,10.42.0.64,40412.0,6.0,07/04/2025 11:30:42 AM,8311.999,8.0,0.99999994,14827.999,0.0,2696.0,1348.0,1853.5,697.65625,0.0,0.0,0.0,0.0,1.7839269e+06,1082.7719,1039.0001,2629.6897,7537.0,1.9992392,7891.0,1127.2857142857144,2827.5546982204555,7537.0,2.0,0.0,0.0,0.0,0.0,-0.000246105,1.0,0.0,0.0,0.0,256,20.0,962.4639076034648,120.30799,0.0,2696.0,1617.6001,852.5501,726841.5999999999,0.0,0.0,1.0,6,8.0,0.0,0.0,0.0,0.0,1797.3333333333333,1853.5,0.0,0.0,0.0,0.0,14828.0,8.0,1.879102e+06,0.0,0.0,0.0,0.0,509.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.140-42202-443-6,10.42.0.64,42202.0,151.101.129.140,443.0,6.0,07/04/2025 11:30:46 AM,30.999966,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,64516.13,30.999842,0.0,31.0,30.999762,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,40,0.0,64516.12903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.3.5-55258-443-6,10.42.0.64,55258.0,151.101.3.5,443.0,6.0,07/04/2025 12:24:35 PM,636695.0,14.0,15.0,309.0,4100.0,63.999996,0.0,22.071428,25.046001,2696.0,0.0,273.33334,709.0853,6924.8223,45.547703,22739.107,72251.06,285739.0,0.9997016,604613.0,46508.6923076923,103179.47111254303,286316.0,17.0,368247.0,26303.355,75732.42,286768.0,0.9994799,0.0,0.0,0.0,0.0,456,488.0,21.988550247763843,23.559162,0.0,2696.0,146.96666,509.45856,259548.03333333347,2.0,2.0,0.0,13,28.0,0.0,0.0,0.0,1.0,152.0344827586207,22.071428571428573,273.3333333333333,0.0,0.0,0.0,4409.0,13.0,54228.996,0.0,0.0,0.0,0.0,65280.0,285.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-34262-6,80.249.99.148,80.0,10.42.0.64,34262.0,6.0,07/04/2025 12:21:50 PM,700.0004,2.0,0.99999994,2696.0,0.0,1348.0,1348.0,1348.0,0.0,0.0,0.0,0.0,0.0,3.8514285e+06,4285.714,349.99997,490.73212,697.0,2.9987767,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,20.0,2857.1428571428573,1428.5714,0.0,1348.0,1011.0,674.00006,454276.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1348.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-47772-80-6,10.42.0.64,47772.0,80.249.99.148,80.0,6.0,07/04/2025 11:15:43 AM,2.9910952e+07,2459.9998,5371.0,100.0,1.0220536e+07,100.0,0.0,0.04065041,2.0161946,4044.0,0.0,1902.9113,670.5598,341702.12,261.81046,3820.045,15885.25,816416.0,0.9997016,29910952.0,12163.86823912161,30697.275181296936,843608.0,14.0,2.9846086e+07,5557.93,19634.191,816416.0,0.9994799,0.0,0.0,0.0,0.0,90212,171880.0,82.24412248730832,179.56635,0.0,4044.0,1304.9843,1043.4095,1088703.5073473146,1.0,2.0,1.0,3550,7829.0005,0.0,0.0,0.0,2.0,1305.1508108798366,0.040650406504065,1902.911189722584,0.0,0.0,0.0,1.0220636e+07,5369.0,342458.0,0.0,0.0,0.0,0.0,65280.0,509.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.129.111-43140-443-6,10.42.0.64,43140.0,151.101.129.111,443.0,6.0,07/04/2025 12:45:34 PM,150502.0,5.0,15.999999,676.0,5110.0,517.0,0.0,135.2,214.77127,1348.0,0.0,319.375,561.9018,38444.67,139.53304,7525.0996,13962.089,38412.0,2.9987767,87368.0,21842.0,25367.29933070001,48613.0,55.0,76126.0,5075.067,11947.59,36108.0,3.000043,0.0,0.0,0.0,0.0,168,512.0,33.222149871762504,106.31088,0.0,1348.0,263.0,493.8765,243914.0000000001,1.0,1.0,0.0,9,20.0,0.0,0.0,0.0,3.0,275.5238095238095,135.2,319.375,0.0,0.0,0.0,5786.0,11.000001,51639.0,0.0,0.0,0.0,0.0,65280.0,285.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
