Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 02:43:47 PM,1.1997008e+08,631.0,0.0,22716.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,189.34721,5.2596326,190428.7,171036.08,1.149429e+06,34432.004,119970079.0,190428.6968253968,171036.0683673793,1149429.0,34432.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,5048,0.0,5.259644781929334,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.05705229793978,36.0,0.0,0.0,0.0,0.0,7572.0,210.0,192.0,315.0,11358.0,0.0,0.0,0.0,0.0,630.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152.0,10.42.0.208,2152.0,17.0,16/06/2025 08:38:22 PM,1.8244758e+07,119.0,100.0,3789.9998,1000.0,36.0,10.0,31.84874,9.563914,10.0,10.0,10.0,0.0,262.54114,12.003436,83691.555,132425.83,668314.0,31.999298,18244718.0,154616.25423728817,146594.27587005726,668314.0,74.0,1.8244604e+07,184288.94,141933.64,668574.0,35195.0,0.0,0.0,0.0,0.0,952,800.0,6.522421041571445,5.481026,10.0,36.0,21.936365,12.985962,168.63520132835197,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.03652968036529,31.84873949579832,10.0,0.0,0.0,0.0,4790.0,219.00002,262.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 01:14:52 PM,5.936588e+07,321.00003,0.0,11556.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,194.65732,5.4071326,185518.38,149202.67,1.031713e+06,34973.0,59365880.0,185518.3750000001,149202.67799271396,1031713.0,34973.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,2568,0.0,5.407146327149535,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.11214953271028,36.0,0.0,0.0,0.0,0.0,5778.0,160.0,198.0,321.0,11556.0,0.0,0.0,0.0,0.0,320.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 11:44:48 AM,1.766505e+07,109.0,0.0,3923.9998,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,222.13353,6.1703715,163565.3,122978.03,644967.0,34466.996,17665051.0,163565.28703703708,122978.0338679975,644967.0,34467.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,872,0.0,6.170375619068409,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.3302752293578,36.0,0.0,0.0,0.0,0.0,3923.9998,109.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 03:54:28 PM,1.1994077e+08,659.00006,0.0,23724.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,197.79758,5.4943924,182280.8,163004.38,1.302496e+06,34390.996,119940762.0,182280.79331307003,163004.37321415782,1302496.0,34391.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,5272,0.0,5.494378966843649,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.0546282245827,36.0,0.0,0.0,0.0,0.0,7908.0005,219.00002,200.99998,329.0,11862.0,0.0,0.0,0.0,0.0,658.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.45.0.5-8.8.8.8-0-0-0,10.45.0.5,0.0,8.8.8.8,0.0,0.0,17/06/2025 03:44:35 PM,5.999032e+07,14923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,248.7568,4020.26,5253.1006,376608.03,2822.0015,59990320.0,4020.26001876424,5253.100651010157,376608.0,2822.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,0,0.0,248.7567994303081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2152.0,10.42.0.208,2152.0,17.0,16/06/2025 11:33:46 PM,1.1997222e+08,778.0,658.0,24888.0,6580.0,36.0,10.0,31.989717,9.396728,10.0,10.0,10.0,0.0,262.2941,11.969429,83604.336,147139.3,1.395163e+06,31.999298,119972153.0,154404.31531531562,170549.0397228574,1395235.0,73.0,1.1997206e+08,182605.89,171055.06,1.395305e+06,34601.0,0.0,0.0,0.0,0.0,6224,5264.0,6.484834572536876,5.4846034,10.0,36.0,21.92345,12.959859,167.95792456816724,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.938718662952645,31.989717223650384,10.0,0.0,0.0,0.0,5244.0,238.99998,276.0,155.0,4977.0,131.0,1316.0,0.0,0.0,777.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 12:00:14 PM,1.1996794e+08,612.00006,0.0,22032.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,183.64906,5.10136,196346.88,196106.73,2.052866e+06,34176.004,119967938.0,196346.87070376432,196106.739315946,2052866.0,34176.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,4896,0.0,5.101362999170662,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.05882352941177,36.0,0.0,0.0,0.0,0.0,3672.0,102.0,195.0,122.0,4406.0,0.0,0.0,0.0,0.0,611.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2152.0,10.42.0.208,2152.0,17.0,17/06/2025 01:27:46 AM,5.8921892e+07,380.00003,320.0,12120.0,3200.0,36.0,10.0,31.894737,9.493198,10.0,10.0,10.0,0.0,260.0053,11.880132,84294.55,146305.78,896383.0,38.999546,58921888.0,155466.7229551452,168693.88123874355,896383.0,89.0,5.892167e+07,184707.44,168583.33,896542.0,34473.0,0.0,0.0,0.0,0.0,3040,2560.0,6.449216291236288,5.4309187,10.0,36.0,21.905848,12.963122,168.042551457102,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.937142857142856,31.894736842105264,10.0,0.0,0.0,0.0,15320.0,700.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2152.0,10.42.0.208,2152.0,17.0,15/08/2025 12:19:23 PM,5.9747504e+07,321.00003,0.0,11556.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,193.414,5.3726015,186710.95,155771.28,887830.0,34457.996,59747503.0,186710.9468750001,155771.27810733125,887830.0,34458.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,2568,0.0,5.372609462859058,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.11214953271028,36.0,0.0,0.0,0.0,0.0,11556.0,321.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
