Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.127.119.178-10.45.0.1-0-0-17,10.127.119.178,0.0,10.45.0.1,0.0,17.0,24/08/2025 04:34:15 PM,134692.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,1358.6553,740.06616,655.1702,5526.0,120.000404,134692.0,740.065934065934,655.1702710185122,5526.0,120.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,1464,0.0,1358.6553024678526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.180.176.82-10.45.0.1-0-0-17,10.180.176.82,0.0,10.45.0.1,0.0,17.0,24/08/2025 04:27:38 PM,127979.01,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,593.84753,1706.3865,2414.309,13119.0,421.00055,127979.0,1706.3866666666668,2414.30908304394,13119.0,421.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,608,0.0,593.8474280936716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.216.134.114-10.45.0.1-0-0-17,10.216.134.114,0.0,10.45.0.1,0.0,17.0,24/08/2025 02:19:36 PM,113028.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,734.33136,1378.3901,1044.9633,4866.0,187.00076,113028.0,1378.390243902439,1044.9632725083202,4866.0,187.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,664,0.0,734.3313161340552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.174.22.110-10.45.0.1-0-0-17,10.174.22.110,0.0,10.45.0.1,0.0,17.0,24/08/2025 05:11:05 PM,52759.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,3715.006,270.55914,75.226395,1054.0001,75.99985,52759.0,270.55897435897424,75.22639616088897,1054.0,76.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,1568,0.0,3715.00597054531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.89.205.206-10.45.0.1-0-0-17,10.89.205.206,0.0,10.45.0.1,0.0,17.0,24/08/2025 04:40:35 PM,124911.01,264.00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,2113.5046,474.94687,239.15823,1285.0001,136.99951,124911.0,474.9467680608365,239.1582348105175,1285.0,137.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,2112,0.0,2113.504815428585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.45.0.41-10.45.0.1-0-0-0,10.45.0.41,0.0,10.45.0.1,0.0,0.0,24/08/2025 12:40:45 PM,1.1999989e+08,9634.0,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,95.733444,10446.581,565672.7,4.7993256e+07,0.000163964,119999886.0,12457.166614761723,617700.647159105,47993257.0,10.0,1.19997304e+08,64758.39,1.4078858e+06,4.8013396e+07,14.000361,0.0,0.0,0.0,0.0,0,0.0,80.28340960257245,15.450014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,1.1928948e+06,747100.6,2289993.0,632682.0,27707797.25,1.407644e+07,47993257.0,15979299.0,DDoS
10.252.6.246-10.45.0.1-0-0-17,10.252.6.246,0.0,10.45.0.1,0.0,17.0,24/08/2025 04:17:14 PM,222357.0,444.00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,1996.789,501.93472,28.735771,645.0,404.00143,222357.0,501.9345372460501,28.73577167418188,645.0,404.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,3552,0.0,1996.7889475033392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.179.95.199-10.45.0.1-0-0-17,10.179.95.199,0.0,10.45.0.1,0.0,17.0,24/08/2025 02:25:56 PM,38348.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,1199.541,852.178,753.91693,4084.0,318.99893,38348.0,852.1777777777777,753.9169018860732,4084.0,319.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,368,0.0,1199.541045165328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
10.45.0.48-10.45.0.1-0-0-0,10.45.0.48,0.0,10.45.0.1,0.0,0.0,24/08/2025 04:05:06 PM,9.012534e+07,9116.0,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,124.038376,8062.7427,471629.53,4.180157e+07,2.9987767,90125222.0,9887.572353263811,522270.7286617375,41801566.0,10.0,9.012518e+07,43707.656,1.0977116e+06,4.180678e+07,12.999524,0.0,0.0,0.0,0.0,0,0.0,101.14801891907342,22.890343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,943200.75,117391.04,1009298.0,767344.0,20817195.25,1.5835941e+07,41801566.0,5094568.0,DDoS
10.209.31.245-10.45.0.1-0-0-17,10.209.31.245,0.0,10.45.0.1,0.0,17.0,24/08/2025 02:21:47 PM,215426.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,1127.9974,890.19006,1333.0562,14273.0,369.99973,215426.0,890.1900826446271,1333.0561481082202,14273.0,370.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,1944,0.0,1127.9975490423626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
