Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.254.7.109-8.8.8.8-35521-54321-17,10.254.7.109,35521.0,8.8.8.8,54321.0,17.0,16/04/2025 11:27:52 AM,2284.0002,3.0,0.0,330.0,0.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,144483.36,1313.4851,1141.9999,90.50967,1206.0001,1077.9998,2284.0,1142.0,90.50966799187808,1206.0,1078.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,24,0.0,1313.4851138353763,0.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,146.66666666666666,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.15.199.2-8.8.8.8-64791-54321-17,10.15.199.2,64791.0,8.8.8.8,54321.0,17.0,16/04/2025 11:25:18 AM,3724.0002,5.0,0.0,720.0,0.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,193340.48,1342.6422,930.99994,31.926998,972.0,894.0012,3724.0,931.0,31.92700006786313,972.0,894.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,40,0.0,1342.6423200859292,0.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,172.8,144.0,0.0,0.0,0.0,0.0,720.0,5.0,193340.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.205.224.109-8.8.8.8-18945-54321-17,10.205.224.109,18945.0,8.8.8.8,54321.0,17.0,16/04/2025 11:28:47 AM,829.0004,2.0,0.0,262.0,0.0,131.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,316043.44,2412.5452,829.0002,0.0,829.0,828.99994,829.0,829.0,0.0,829.0,829.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,16,0.0,2412.5452352231605,0.0,131.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,196.5,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.64.38.253-8.8.8.8-36459-54321-17,10.64.38.253,36459.0,8.8.8.8,54321.0,17.0,16/04/2025 11:29:22 AM,4652.9995,5.0,0.0,615.0,0.0,123.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,132172.78,1074.5756,1163.2502,385.45935,1717.0001,827.00085,4653.0,1163.25,385.4593579959717,1717.0,827.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,40,0.0,1074.575542660649,0.0,123.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,147.6,123.0,0.0,0.0,0.0,0.0,615.0,5.0,132172.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.26.253.151-8.8.8.8-11878-54321-17,10.26.253.151,11878.0,8.8.8.8,54321.0,17.0,16/04/2025 11:26:59 AM,11652.0,10.0,0.0,670.0,0.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,57500.855,858.22174,1294.6666,197.75554,1747.0001,995.9994,11652.0,1294.6666666666667,197.7555308961041,1747.0,996.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,80,0.0,858.2217645039478,0.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.7,67.0,0.0,0.0,0.0,0.0,670.0,10.0,57500.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.253.127.19-8.8.8.8-31675-54321-17,10.253.127.19,31675.0,8.8.8.8,54321.0,17.0,16/04/2025 11:31:53 AM,8394.001,7.0000005,0.0,1106.0,0.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,131760.78,833.929,1398.9999,120.20815,1611.0,1255.0016,8394.0,1399.0,120.20815280171308,1611.0,1255.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,56,0.0,833.9289969025494,0.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.57142857142856,158.0,0.0,0.0,0.0,0.0,1106.0,7.0000005,131760.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.149.157.109-8.8.8.8-53930-54321-17,10.149.157.109,53930.0,8.8.8.8,54321.0,17.0,16/04/2025 11:25:35 AM,3277.9998,4.0,0.0,296.0,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,90298.96,1220.2562,1092.6669,144.94597,1260.0001,1006.0018,3278.0,1092.6666666666667,144.94596694400758,1260.0,1006.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,32,0.0,1220.2562538133006,0.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,92.5,74.0,0.0,0.0,0.0,0.0,296.0,4.0,90298.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.206.105.177-8.8.8.8-54339-54321-17,10.206.105.177,54339.0,8.8.8.8,54321.0,17.0,16/04/2025 11:22:57 AM,6060.0,7.0000005,0.0,952.0,0.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,157095.7,1155.1155,1009.99994,117.16655,1218.0,863.00165,6060.0,1010.0,117.16654812701448,1218.0,863.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,56,0.0,1155.1155115511551,0.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,155.42857142857142,136.0,0.0,0.0,0.0,0.0,952.0,7.0000005,157095.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.51.63.3-8.8.8.8-1705-54321-17,10.51.63.3,1705.0,8.8.8.8,54321.0,17.0,16/04/2025 11:32:08 AM,4681.001,3.0,0.0,318.0,0.0,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,67934.2,640.8888,2340.5,96.873634,2409.0,2272.0015,4681.0,2340.5,96.873629022557,2409.0,2272.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,24,0.0,640.888698995941,0.0,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,141.33333333333334,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.122.127.53-8.8.8.8-64234-54321-17,10.122.127.53,64234.0,8.8.8.8,54321.0,17.0,16/04/2025 11:26:51 AM,3081.9998,3.0,0.0,225.0,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,73004.54,973.394,1541.0001,29.698486,1562.0,1520.001,3082.0,1541.0,29.698484809834994,1562.0,1520.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,24,0.0,973.3939000648928,0.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
