Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.168.20.34-10.42.0.64-2152-2152-17,10.168.20.34,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:40:18 PM,9377.001,7.0000005,7.0,56.000004,70.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,13437.134,1493.0148,721.30774,769.85535,1539.0,17.998806,9359,1559.83333333333,46.2446393289716,1637,1508,9279.0,1546.5,29.187326,1589.0,1507.0,0.0,0.0,0.0,0.0,56,56.0,746.50741175216,746.50745,8.0,10.0,8.933333,1.0327955,1.06666666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.57142857142857,8.0,10,0.0,0.0,0.0,126.0,14.000001,13437.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.34.176.16-10.42.0.64-2152-2152-17,10.34.176.16,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:46:27 PM,12047.0,8.0,7.9999995,63.999996,80.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,11953.184,1328.1315,803.1334,824.2941,1898.0001,32.998837,12014,1716.28571428571,160.036156628968,1959,1579,11918.0,1702.5715,161.66309,1948.0001,1593.9995,0.0,0.0,0.0,0.0,64,64.0,664.065742508508,664.0658,8.0,10.0,8.941176,1.0289916,1.05882352941176,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.5,8.0,10,0.0,0.0,0.0,144.0,16.0,11953.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.110.80.2-10.42.0.64-2152-2152-17,10.110.80.2,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:57:47 PM,12796.001,6.0,6.0,48.0,60.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,8440.138,937.793,1163.2728,1301.3629,2678.0,22.999977,12773,2554.6,167.884781919029,2713,2302,12738.0,2547.6,172.68265,2705.0,2282.9995,0.0,0.0,0.0,0.0,48,48.0,468.896530165677,468.8965,8.0,10.0,8.923078,1.037749,1.07692307692308,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.66666666666667,8.0,10,0.0,0.0,0.0,108.0,12.0,8440.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.159.239.69-10.42.0.64-2152-2152-17,10.159.239.69,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:37:19 PM,13069.0,9.0,9.0,72.0,90.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,12395.745,1377.305,768.7647,805.9994,1851.0001,18.998344,13046,1630.75,116.094481227268,1879,1555,13013.0,1626.6251,133.06274,1921.0,1515.9998,0.0,0.0,0.0,0.0,72,72.0,688.652536536843,688.6525,8.0,10.0,8.947369,1.0259783,1.05263157894737,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.44444444444444,8.0,10,0.0,0.0,0.0,162.0,18.0,12395.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.131.222.87-10.42.0.64-2152-2152-17,10.131.222.87,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:54:01 PM,1656.0004,2.0,1.9999999,15.999999,20.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,21739.13,2415.459,552.00024,873.9754,1561.0,30.999762,1625,1625.0,0.0,1625,1625,1592.0,1592.0,0.0,1592.0,1592.0001,0.0,0.0,0.0,0.0,16,16.0,1207.72946859903,1207.7295,8.0,10.0,8.8,1.0954452,1.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,10,0.0,0.0,0.0,36.0,4.0,21739.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.34.161.132-10.42.0.64-2152-2152-17,10.34.161.132,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:35:48 PM,18325.0,6.0,6.0,48.0,60.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,5893.5874,654.84314,1665.909,1845.663,3953.0002,53.00004,18266,3653.2,381.530732707078,4027,3236,18206.0,3641.2,377.72043,4020.0,3242.0,0.0,0.0,0.0,0.0,48,48.0,327.421555252387,327.42157,8.0,10.0,8.923078,1.037749,1.07692307692308,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.66666666666667,8.0,10,0.0,0.0,0.0,108.0,12.0,5893.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.168.3.15-10.42.0.64-2152-2152-17,10.168.3.15,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:47:55 PM,19982.998,10.0,10.0,80.0,100.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,9007.656,1000.8507,1051.7368,1107.2031,2610.0,23.999514,19941,2215.66666666667,247.466159302641,2704,1988,19889.0,2209.889,240.82538,2669.0,1988.0004,0.0,0.0,0.0,0.0,80,80.0,500.425361557324,500.42535,8.0,10.0,8.952381,1.0235326,1.04761904761905,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.4,8.0,10,0.0,0.0,0.0,180.0,20.0,9007.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.63.16.193-10.42.0.64-2152-2152-17,10.63.16.193,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:50:33 PM,12648.0,9.0,9.0,72.0,90.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,12808.35,1423.1499,743.9998,772.4164,1849.0001,31.999298,12615,1576.875,132.779556838716,1905,1518,12592.0,1574.0,128.48235,1890.0,1503.9998,0.0,0.0,0.0,0.0,72,72.0,711.57495256167,711.57495,8.0,10.0,8.947369,1.0259783,1.05263157894737,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.44444444444444,8.0,10,0.0,0.0,0.0,162.0,18.0,12808.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.194.42.201-10.42.0.64-2152-2152-17,10.194.42.201,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:45:59 PM,30752.998,10.0,10.0,80.0,100.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,5853.0874,650.34314,1618.5792,1721.8136,4772.0,53.999573,30693,3410.33333333333,570.422212049987,4866,3124,30659.0,3406.5557,572.9511,4879.0,3124.0002,0.0,0.0,0.0,0.0,80,80.0,325.17152798101,325.17154,8.0,10.0,8.952381,1.0235326,1.04761904761905,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.4,8.0,10,0.0,0.0,0.0,180.0,20.0,5853.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
10.89.164.135-10.42.0.64-2152-2152-17,10.89.164.135,2152.0,10.42.0.64,2152.0,17.0,08/04/2025 01:49:21 PM,6794.0005,5.0,5.0,40.0,50.0,7.9999995,8.0,8.0,0.0,10.0,10.0,10.0,0.0,13246.981,1471.887,754.88873,852.4266,1932.0,16.999268,6771,1692.75,191.593971721451,1978,1573,6748.0,1687.0,228.7721,2030.0001,1563.0002,0.0,0.0,0.0,0.0,40,40.0,735.943479540771,735.9435,8.0,10.0,8.909091,1.0444659,1.09090909090909,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,9.8,8.0,10,0.0,0.0,0.0,90.0,10.0,13245.999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0,0,0,0.0,0,0,GTP_MALFORMED
