Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.45.0.40-10.45.0.59-33974-8080-6,10.45.0.40,33974.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:38:46 PM,7.490242e+07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.040063903,3.745121e+07,5.1514884e+07,7.387773e+07,1.024684e+06,74902414.0,37451207.0,51514882.85669548,73877730.0,1024684.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,96,0.0,0.0400521136742001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,73877730.0,0.0,73877730.0,73877730.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-35746-8080-6,10.45.0.40,35746.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:38:47 PM,4.008542e+07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.049905002,4.008542e+07,0.0,4.008542e+07,4.008542e+07,40085418.0,40085418.0,0.0,40085418.0,40085418.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,0.0,0.0498934550214743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,40085418.0,0.0,40085418.0,40085418.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43174-8080-6,10.45.0.40,43174.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:40:26 PM,8.525986e+07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.035172466,4.2629924e+07,5.8853336e+07,8.424552e+07,1.01433006e+06,85259850.0,42629925.0,58853338.855225965,84245520.0,1014330.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,96,0.0,0.035186550293016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,1.01433006e+06,0.0,1014330.0,1014330.0,84245520.0,0.0,84245520.0,84245520.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-53324-8080-6,10.45.0.40,53324.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:39:31 PM,2.5171024e+07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.079457425,2.5171026e+07,0.0,2.5171024e+07,2.5171024e+07,25171025.0,25171025.0,0.0,25171025.0,25171025.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,0.0,0.0794564385041928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,25171025.0,0.0,25171025.0,25171025.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43888-8080-6,10.45.0.40,43888.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:40:08 PM,1.0360942e+08,7.0000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.06754911,1.7268238e+07,1.1994002e+07,3.2699692e+07,1.050809e+06,103609423.0,17268237.166666668,11994002.198566873,32699691.0,1050809.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,224,0.0,0.0675614224779535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,1.050809e+06,0.0,1050809.0,1050809.0,20511722.8,1.0045826e+07,32699691.0,10752005.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48324-8080-6,10.45.0.40,48324.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:41:34 PM,6.2849704e+07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.047721326,3.1424852e+07,7.35978e+06,3.6629004e+07,2.6220702e+07,62849703.0,31424851.5,7359780.217730723,36629002.0,26220701.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,96,0.0,0.0477329224610655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,31424851.5,7.3597805e+06,36629002.0,26220701.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48708-8080-6,10.45.0.40,48708.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:39:49 PM,1.05771544e+08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.018896801,1.05771544e+08,0.0,1.05771544e+08,1.05771544e+08,105771548.0,105771548.0,0.0,105771548.0,105771548.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,0.0,0.0189086766509269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,105771548.0,0.0,105771548.0,105771548.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-51608-8080-6,10.45.0.40,51608.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:42:45 PM,4.429313e+07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.045159146,4.4293124e+07,0.0,4.429313e+07,4.429313e+07,44293126.0,44293126.0,0.0,44293126.0,44293126.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,0.0,0.0451537333355067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,44293126.0,0.0,44293126.0,44293126.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-34026-8080-6,10.45.0.40,34026.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:40:31 PM,1.12328376e+08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.035609204,3.7442788e+07,5.4061485e+06,4.097495e+07,3.121921e+07,112328372.0,37442790.66666666,5406148.082302439,40974951.0,31219209.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,128,0.0,0.0356098813574899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,37442790.66666666,5.406148e+06,40974951.0,31219209.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-39096-8080-6,10.45.0.40,39096.0,10.45.0.59,8079.9995,6.0,24/08/2025 05:40:23 PM,1.1585179e+07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7430258e-05,0.17262761,1.1585179e+07,0.0,1.1585179e+07,1.1585179e+07,11585179.0,11585179.0,0.0,11585179.0,11585179.0,0.0,0.0,0.0,0.0,-0.000246105,0.0,0.0,0.0,0.0,64,0.0,0.1726343632670673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65280.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,11585179.0,0.0,11585179.0,11585179.0,INTRA-UPF-DOS
