Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 02:43:47 PM,1.1996408e+08,627.79706,3.1915,25289.309,1505.2441,35.595604,35.8652,36.137135,0.0,0.5392,0.1348,0.16849999,0.107067,67589.46,55.28,196409.9,175202.66,1.15541e+06,40415.25,119970079.0,190428.6968253968,171036.0683673793,1149429.0,34432.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,0.0,5048,28.7472,5.259644781929334,25.0,36.1348,35.4608,36.1348,0.11393432,0.0,1e-04,0.0004,0.0,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.05705229793978,36.0,0.0,5e-05,0.0,0.0,9995.02,205.85655,10561.23,311.797,8784.69,0.0,0.0,3.2767498,0.0,626.79706,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2155.2766,10.42.0.208,2155.0466,17.0,16/06/2025 08:38:22 PM,1.8238758e+07,115.79705,103.1915,6363.309,2505.2441,35.595604,9.8652,31.985872,9.471214,10.539201,10.1348,10.1685,0.107067,67662.66,62.023804,89672.75,136592.42,674294.94,6015.249,18244718.0,154616.25423728817,146594.27587005726,668314.0,74.0,1.8238606e+07,180472.88,143679.08,662740.5,39011.703,5e-05,0.0,0.0,5e-05,952,828.7472,6.522421041571445,30.481026,10.1348,36.5392,22.071165,13.0998955,168.63520132835197,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,22.03652968036529,31.84873949579832,10.0,0.0,0.0,0.0,7213.019,214.85657,10631.23,0.0,0.0,3.1915,0.0,3.2767498,0.0,121.20295,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 01:14:52 PM,5.935988e+07,317.7971,3.1915,14129.31,1505.2441,35.595604,35.8652,36.137135,0.0,0.5392,0.1348,0.16849999,0.107067,67594.766,55.427498,191499.58,153369.27,1.03769394e+06,40956.246,59365880.0,185518.3750000001,149202.67799271396,1031713.0,34973.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,5e-05,2568,28.7472,5.407146327149535,25.0,36.1348,36.5392,36.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.11214953271028,36.0,0.0,0.0,0.0,0.0,8201.02,155.85655,10567.23,317.797,8982.69,3.1915,1505.2441,3.2767498,0.0,323.20294,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 11:44:48 AM,1.765905e+07,105.79705,3.1915,6497.3096,1505.2441,35.595604,36.1348,36.137135,0.0,0.0,0.1348,0.16849999,0.107067,67622.24,56.190735,169546.5,118811.445,650947.94,40450.242,17665051.0,163565.28703703708,122978.0338679975,644967.0,34467.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,5e-05,872,28.7472,6.170375619068409,25.0,36.1348,36.5392,36.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.3302752293578,36.0,0.0,0.0,0.0,0.0,6347.0195,104.856544,10591.23,0.0,0.0,3.1915,0.0,3.2767498,0.0,111.20295,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 03:54:28 PM,1.1993476e+08,655.7971,3.1915,26297.31,1505.2441,35.595604,35.8652,36.137135,0.0,0.5392,0.1348,0.16849999,0.107067,67597.914,55.51476,188262.0,167170.95,1.308477e+06,40374.242,119940762.0,182280.79331307003,163004.37321415782,1302496.0,34391.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,0.0,5272,28.7472,5.494378966843649,25.0,36.1348,35.4608,36.1348,0.11393432,0.0,1e-04,0.0004,0.0,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.0546282245827,36.0,0.0,5e-05,0.0,0.0,10331.02,214.85657,10570.23,325.797,9288.69,0.0,0.0,3.2767498,0.0,654.79706,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.45.0.5-8.8.8.8-0-0-0,10.45.0.5,3.2765,8.8.8.8,3.0465999,0.00084999995,17/06/2025 03:44:35 PM,5.998432e+07,14919.798,3.1915,2573.3096,1505.2441,0.0,0.0,0.13713376,0.09269996,0.5392,0.1348,0.16849999,0.107067,67400.11,298.77713,10001.46,9419.683,382588.94,8805.251,59990320.0,4020.26001876424,5253.100651010157,376608.0,2822.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,5e-05,0,28.7472,248.7567994303081,25.0,0.1348,0.5392,0.0,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,0.0,0.0,0.0,0.0,0.0,0.0,2423.0193,0.0,10369.23,0.0,0.0,3.1915,0.0,3.2767498,0.0,3.20295,0.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2155.2766,10.42.0.208,2155.0466,17.0,16/06/2025 11:33:46 PM,1.1997822e+08,774.79706,661.1915,27461.309,8085.244,35.595604,10.1348,32.12685,9.304028,10.539201,10.1348,10.1685,0.107067,67662.41,-38.050938,89585.53,151305.88,1.4011439e+06,6015.249,119972153.0,154404.31531531562,170549.0397228574,1395235.0,73.0,1.1996606e+08,186421.95,169309.62,1.3894715e+06,38417.703,5e-05,0.0,0.0,5e-05,6224,5292.747,6.484834572536876,30.484604,10.1348,36.5392,22.05825,13.073792,167.95792456816724,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,21.938718662952645,31.989717223650384,10.0,0.0,0.0,0.0,2820.9805,234.85655,10645.23,151.797,7550.3096,127.8085,0.0,3.2767498,0.0,773.79706,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 12:00:14 PM,1.1996194e+08,608.7971,3.1915,24605.31,1505.2441,35.595604,35.8652,36.137135,0.0,0.5392,0.1348,0.16849999,0.107067,67583.766,55.121727,202328.08,200273.31,2.0588471e+06,40159.25,119967938.0,196346.87070376432,196106.739315946,2052866.0,34176.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,0.0,4896,28.7472,5.101362999170662,25.0,36.1348,35.4608,36.1348,0.11393432,0.0,1e-04,0.0004,0.0,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.05882352941177,36.0,0.0,5e-05,0.0,0.0,6095.019,97.85655,10564.23,118.797,1832.6903,0.0,0.0,3.2767498,0.0,607.79706,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2155.2766,10.42.0.208,2155.0466,17.0,17/06/2025 01:27:46 AM,5.891589e+07,376.79706,323.19147,14693.31,4705.244,35.595604,9.8652,32.03187,9.400498,10.539201,10.1348,10.1685,0.107067,67660.12,61.900497,90275.74,150472.38,902363.94,6022.249,58921888.0,155466.7229551452,168693.88123874355,896383.0,89.0,5.891567e+07,180891.38,170328.78,890708.44,38289.703,5e-05,0.0,0.0,5e-05,3040,2588.747,6.449216291236288,30.430918,10.1348,36.5392,22.040648,13.077057,168.042551457102,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,21.937142857142856,31.894736842105264,10.0,0.0,0.0,0.0,17743.02,695.85657,10629.23,0.0,0.0,3.1915,1505.2441,3.2767498,0.0,382.20294,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2155.2766,10.42.0.208,2155.0466,17.0,15/08/2025 12:19:23 PM,5.9741504e+07,317.7971,3.1915,14129.31,1505.2441,35.595604,35.8652,36.137135,0.0,0.5392,0.1348,0.16849999,0.107067,67593.52,55.392967,192692.16,159937.86,893810.94,40441.242,59747503.0,186710.9468750001,155771.27810733125,887830.0,34458.0,0.0,3816.061,1745.45,0.0,3816.7026,5e-05,0.0,0.0,5e-05,2568,28.7472,5.372609462859058,25.0,36.1348,36.5392,36.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,5e-05,5e-05,0.0,0.00084999995,36.11214953271028,36.0,0.0,0.0,0.0,0.0,13979.019,316.85657,10562.23,0.0,0.0,3.1915,1505.2441,3.2767498,0.0,323.20294,8.0022,5598.826,1732.2467,0.0,0.0,0.0,3794.677,0.0,0.0,BRUTEFORCE
