Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.127.119.178-10.45.0.1-0-0-17,10.127.119.178,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 04:34:15 PM,140692.53,179.79706,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,1408.6757,6721.267,4821.7524,1.9999999,6103.25,134692.0,740.065934065934,655.1702710185122,5526.0,120.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,1464,28.7472,1358.6553024678526,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.180.176.82-10.45.0.1-0-0-17,10.180.176.82,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 04:27:38 PM,133979.53,72.79704,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,643.8679,7687.5874,6580.8916,7138.06,6404.25,127979.0,1706.3866666666668,2414.30908304394,13119.0,421.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,608,28.7472,593.8474280936716,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.216.134.114-10.45.0.1-0-0-17,10.216.134.114,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 02:19:36 PM,119028.52,79.79705,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,784.35175,7359.591,5211.5454,1.9999999,6170.2505,113028.0,1378.390243902439,1044.9632725083202,4866.0,187.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,664,28.7472,734.3313161340552,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.174.22.110-10.45.0.1-0-0-17,10.174.22.110,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 05:11:05 PM,58759.523,192.79706,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,3765.0264,6251.7603,4241.809,1.9999999,6059.2495,52759.0,270.55897435897424,75.22639616088897,1054.0,76.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,1568,28.7472,3715.00597054531,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.89.205.206-10.45.0.1-0-0-17,10.89.205.206,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 04:40:35 PM,130911.53,260.7971,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,2163.525,6456.148,4405.7407,1.9999999,6120.249,124911.0,474.9467680608365,239.1582348105175,1285.0,137.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,2112,28.7472,2113.504815428585,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.45.0.41-10.45.0.1-0-0-0,10.45.0.41,3.2765,10.45.0.1,3.0465999,0.00084999995,24/08/2025 12:40:45 PM,1.1999999e+08,9630.798,1850.8085,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.0,0.107067,67400.11,145.75378,16427.783,569839.3,4.799924e+07,5983.2495,119999886.0,12457.166614761723,617700.647159105,47993257.0,10.0,1.199913e+08,68574.45,1.4061402e+06,4.800756e+07,3830.7031,0.0,5e-05,5e-05,0.0,0,28.7472,80.28340960257245,40.450012,0.1348,0.5392,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.00084999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10369.23,1601.7969,0.0,305.8085,1505.2441,3.2767498,3.2767498,3.20295,0.0022,1.1984935e+06,745368.3,2289993.0,632682.0,27707797.25,1.4080234e+07,47993257.0,15979299.0,DDoS
10.252.6.246-10.45.0.1-0-0-17,10.252.6.246,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 04:17:14 PM,228357.53,440.7971,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,2046.8093,6483.1357,4195.3184,1.9999999,6387.251,222357.0,501.9345372460501,28.73577167418188,645.0,404.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,3552,28.7472,1996.7889475033392,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.179.95.199-10.45.0.1-0-0-17,10.179.95.199,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 02:25:56 PM,44348.52,42.79705,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,1249.5614,6833.379,4920.499,1.9999999,6302.2485,38348.0,852.1777777777777,753.9169018860732,4084.0,319.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,368,28.7472,1199.541045165328,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
10.45.0.48-10.45.0.1-0-0-0,10.45.0.48,3.2765,10.45.0.1,3.0465999,0.00084999995,24/08/2025 04:05:06 PM,9.013134e+07,9112.798,2059.8083,2573.3096,1505.2441,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.16849999,0.107067,67400.11,174.05872,14043.944,475796.12,4.180755e+07,5986.2485,90125222.0,9887.572353263811,522270.7286617375,41801566.0,10.0,9.011918e+07,47523.715,1.0959661e+06,4.1800944e+07,3829.7024,0.0,5e-05,5e-05,0.0,0,28.7472,101.14801891907342,47.890343,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.00084999995,0.0,0.0,0.0,0.0,0.0,0.0,2423.0193,4.14345,10369.23,1819.7969,2573.3096,408.8085,1505.2441,3.2767498,3.2767498,3.20295,0.0022,948799.56,115658.8,1009298.0,767344.0,20817195.25,1.5839735e+07,41801566.0,5094568.0,DDoS
10.209.31.245-10.45.0.1-0-0-17,10.209.31.245,3.2765,10.45.0.1,3.0465999,17.0,24/08/2025 02:21:47 PM,221426.53,239.79704,3.1915,2573.3096,1505.2441,0.0,0.1348,0.13713376,0.0,0.5392,0.1348,0.16849999,0.107067,67400.11,1178.018,6871.391,5499.6387,8292.061,6353.249,215426.0,890.1900826446271,1333.0561481082202,14273.0,370.0,0.0,3816.061,0.0,0.0,3816.7026,5e-05,5e-05,5e-05,0.0,1944,28.7472,1127.9975490423626,25.0,0.1348,0.0,0.1348,0.11393432,0.0,1e-04,0.0004,1e-04,0,2.3516998,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,2423.0193,4.14345,10369.23,0.0,0.0,3.1915,1505.2441,3.2767498,3.2767498,3.20295,8.0022,5598.826,0.0,0.0,0.0,0.0,3794.677,0.0,0.0,DDoS
