Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.45.0.40-10.45.0.59-33974-8080-6,10.45.0.40,33970.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:38:46 PM,7.489641e+07,6.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.06043,3.7445224e+07,5.1510716e+07,7.387174e+07,1.0187008e+06,74902414.0,37451207.0,51514882.85669548,73877730.0,1024684.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,96,28.7472,0.0400521136742001,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,2.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,4.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,0.0,31.9978,0.0,0.0,0.0,0.0,73877730.0,0.0,73877730.0,73877730.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-35746-8080-6,10.45.0.40,35742.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:38:47 PM,4.0079416e+07,5.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.0,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.07027,4.0079436e+07,0.0,4.007944e+07,4.007943e+07,40085418.0,40085418.0,0.0,40085418.0,40085418.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,64,28.7472,0.0498934550214743,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,1.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,5.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,40085418.0,0.0,40085418.0,40085418.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43174-8080-6,10.45.0.40,43170.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:40:26 PM,8.525385e+07,6.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.05554,4.2623944e+07,5.8849172e+07,8.423954e+07,1.0083468e+06,85259850.0,42629925.0,58853338.855225965,84245520.0,1014330.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,96,28.7472,0.035186550293016,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,2.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,4.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,0.0,31.9978,1.00873125e+06,0.0,1014330.0,1014330.0,84245520.0,0.0,84245520.0,84245520.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-53324-8080-6,10.45.0.40,53320.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:39:31 PM,2.5165024e+07,5.20295,3.1915,2573.3096,1505.2441,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.16849999,0.107067,67400.11,50.099823,2.5165044e+07,0.0,2.5165044e+07,2.5165042e+07,25171025.0,25171025.0,0.0,25171025.0,25171025.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,64,28.7472,0.0794564385041928,25.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,1.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,5.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,25171025.0,0.0,25171025.0,25171025.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-43888-8080-6,10.45.0.40,43884.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:40:08 PM,1.0360342e+08,10.2029505,3.1915,2573.3096,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.087914,1.7262256e+07,1.1989836e+07,3.269371e+07,1.0448258e+06,103609423.0,17268237.166666668,11994002.198566873,32699691.0,1050809.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,224,28.7472,0.0675614224779535,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,6.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,5e-05,5e-05,2423.0193,4.14345,10369.23,4.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,1.0452101e+06,0.0,1050809.0,1050809.0,20511722.8,1.0042032e+07,32699691.0,10752005.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48324-8080-6,10.45.0.40,48320.723,10.45.0.59,8076.9536,5.99915,24/08/2025 05:41:34 PM,6.2843704e+07,6.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.0,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.06809,3.141887e+07,7.3556135e+06,3.6623024e+07,2.6214718e+07,62849703.0,31424851.5,7359780.217730723,36629002.0,26220701.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,96,28.7472,0.0477329224610655,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,2.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,4.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,31424851.5,7.3559855e+06,36629002.0,26220701.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-48708-8080-6,10.45.0.40,48704.723,10.45.0.59,8076.9536,5.99915,24/08/2025 05:39:49 PM,1.05765544e+08,5.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.03926,1.0576557e+08,0.0,1.0576556e+08,1.0576556e+08,105771548.0,105771548.0,0.0,105771548.0,105771548.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,64,28.7472,0.0189086766509269,0.0,0.0,0.5392,0.1348,0.0,0.0,1e-04,1.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,5.203,2573.3096,3.1915,0.0,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,105771548.0,0.0,105771548.0,105771548.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-51608-8080-6,10.45.0.40,51604.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:42:45 PM,4.4287124e+07,5.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.0,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.065525,4.4287144e+07,0.0,4.4287148e+07,4.4287144e+07,44293126.0,44293126.0,0.0,44293126.0,44293126.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,64,28.7472,0.0451537333355067,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,1.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,5.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,44293126.0,0.0,44293126.0,44293126.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-34026-8080-6,10.45.0.40,34022.727,10.45.0.59,8076.9536,6.00085,24/08/2025 05:40:31 PM,1.1232237e+08,7.20295,3.1915,2573.3096,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.0,0.107067,67400.11,50.055973,3.743681e+07,5.4019815e+06,4.0968972e+07,3.1213226e+07,112328372.0,37442790.66666666,5406148.082302439,40974951.0,31219209.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,0.0,5e-05,128,28.7472,0.0356098813574899,0.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,3.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,5e-05,5e-05,2423.0193,4.14345,10369.23,4.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,37442790.66666666,5.4023535e+06,40974951.0,31219209.0,INTRA-UPF-DOS
10.45.0.40-10.45.0.59-39096-8080-6,10.45.0.40,39092.723,10.45.0.59,8076.9536,6.00085,24/08/2025 05:40:23 PM,1.1579179e+07,5.20295,3.1915,0.0,0.0,0.4044,0.1348,0.13713376,0.09269996,0.5392,0.1348,0.16849999,0.107067,67400.11,50.192993,1.1579197e+07,0.0,1.1579198e+07,1.1579196e+07,11585179.0,11585179.0,0.0,11585179.0,11585179.0,0.0,0.0,1745.45,5833.5396,-3816.7031,5e-05,0.0,5e-05,5e-05,64,28.7472,0.1726343632670673,25.0,0.0,0.5392,0.1348,0.11393432,0.0,1e-04,1.9996,1e-04,0,2.3516998,0.0,0.0,5e-05,0.00084999995,0.0,0.0,0.0,0.0,0.0,5e-05,2423.0193,4.14345,10369.23,5.203,2573.3096,3.1915,1505.2441,65276.723,3.2767498,3.20295,31.9978,0.0,0.0,0.0,0.0,11585179.0,0.0,11585179.0,11585179.0,INTRA-UPF-DOS
