Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64535.004,54321.0,17.0,1091.0,2.0,0.0,190.0,0.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,174152.16,1833.1805,1091.0,0.0,1091.0,1091.0,1091.0,1091.0,0.0,1091.0,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1833.1805,0.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
29169.998,54321.0,17.0,6320.0,7.0,0.0,602.0,0.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,95253.164,1107.595,1053.3334,47.869263,1132.0,999.99994,6320.0,1053.3334,47.869263,1132.0,999.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1107.595,0.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.28572,86.0,0.0,0.0,0.0,0.0,602.0,7.0,95253.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
41886.996,54321.0,17.0,5833.0,4.0,0.0,332.00003,0.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,56917.543,685.7535,1944.3334,42.33596,1993.0001,1916.0,5833.0,1944.3334,42.33596,1993.0001,1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,685.7535,0.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.75001,83.0,0.0,0.0,0.0,0.0,332.0,4.0,56917.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
42638.0,54321.0,17.0,22728.0,10.0,0.0,800.0,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,35198.875,439.9859,2525.3333,955.7975,4158.0,1079.0,22728.0,2525.3333,955.7975,4158.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,439.9859,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.99999,80.0,0.0,0.0,0.0,0.0,800.0,10.0,35198.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
23378.998,54321.0,17.0,5592.9995,5.0,0.0,429.99997,0.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,76881.81,893.97455,1398.25,183.54904,1652.0,1223.0,5592.9995,1398.25,183.54904,1652.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,893.97455,0.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.2,86.0,0.0,0.0,0.0,0.0,429.99997,5.0,76881.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
48527.0,54321.0,17.0,2121.0,3.0,0.0,414.0,0.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,195190.94,1414.4271,1060.5,156.2706,1171.0,950.0,2121.0,1060.5,156.2706,1171.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1414.4271,0.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.00002,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
24591.0,54321.0,17.0,3503.0,4.0,0.0,316.0,0.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,90208.39,1141.8784,1167.6666,126.72937,1314.0,1094.0,3503.0,1167.6666,126.72937,1314.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1141.8784,0.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.74999,79.0,0.0,0.0,0.0,0.0,316.0,4.0,90208.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
40237.996,54321.0,17.0,6294.9995,7.0,0.0,1099.0,0.0,157.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,174583.0,1111.9935,1049.1666,192.76662,1363.0,774.0,6294.9995,1049.1666,192.76662,1363.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,1111.9935,0.0,157.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.42857,157.0,0.0,0.0,0.0,0.0,1099.0,7.0,174583.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
14647.0,54321.0,17.0,6854.0,4.0,0.0,468.00003,0.0,116.99999,116.99999,116.99999,0.0,0.0,0.0,0.0,0.0,68281.3,583.6008,2284.6667,131.51553,2415.0,2152.0,6854.0,2284.6667,131.51553,2415.0,2152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,583.6008,0.0,116.99999,116.99999,116.99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.25,116.99999,0.0,0.0,0.0,0.0,468.0,4.0,68281.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
8589.0,54321.0,17.0,5103.0,6.0,0.0,546.0,0.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,106995.88,1175.7789,1020.60004,62.296066,1088.0,953.99994,5103.0,1020.60004,62.296066,1088.0,953.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1175.7789,0.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.166664,91.0,0.0,0.0,0.0,0.0,546.0,6.0,106995.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
