Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2152,10.42.0.208,2152,17,15/08/2025 03:37:17 PM,119573060,647,0,23292.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,194.79304117499376,5.410917810416493,185097.61609907125,168620.64764881285,1241359.0,34322.0,119573060.0,185097.61609907125,168620.64764881285,1241359.0,34322.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5176,0,5.410917810416493,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05564142194745,36.0,0.0,0,0,0,11646,323,196,647,23292,0,0,0,0,646,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2152,10.42.0.208,2152,17,15/08/2025 03:37:17 PM,119896583,635,0,22860.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,190.66431609648123,5.2962310026800345,189111.3296529968,167857.13753591338,1275450.0,34558.0,119896583.0,189111.3296529968,167857.13753591338,1275450.0,34558.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5080,0,5.2962310026800345,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.056692913385824,36.0,0.0,0,0,0,11430,317,192,635,22860,0,0,0,0,634,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2152,10.42.0.208,2152,17,15/08/2025 03:37:17 PM,119526684,668,0,24048.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,201.19356778943185,5.588710216373107,179200.42578710636,156526.1537831481,1107398.0,34699.0,119526684.0,179200.42578710636,156526.1537831481,1107398.0,34699.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5344,0,5.588710216373107,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05389221556887,36.0,0.0,0,0,0,8016,222,204,334,12024,0,0,0,0,667,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152,10.42.0.208,2152,17,15/08/2025 03:37:17 PM,119803031,621,0,22356.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,186.6062971311636,5.183508253643432,193230.6951612903,166737.6104570966,1263716.0,34247.0,119803031.0,193230.6951612903,166737.6104570966,1263716.0,34247.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4968,0,5.183508253643432,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05797101449275,36.0,0.0,0,0,0,11178,310,188,621,22356,0,0,0,0,620,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2152,10.42.0.208,2152,17,15/08/2025 03:39:17 PM,119949765,633,0,22788.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,189.979530180822,5.277209171689498,189793.9319620253,161512.79235219804,1237012.0,34479.0,119949765.0,189793.9319620253,161512.79235219804,1237012.0,34479.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5064,0,5.277209171689498,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05687203791469,36.0,0.0,0,0,0,7596,211,193,316,11394,0,0,0,0,632,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.215-10.42.0.208-2152-2152-17,10.42.0.215,2152,10.42.0.208,2152,17,15/08/2025 03:39:17 PM,119772990,633,0,22788.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,190.2599242116273,5.284997894767427,189514.2246835444,158783.65154912617,1191844.0,34523.0,119772990.0,189514.2246835444,158783.65154912617,1191844.0,34523.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5064,0,5.284997894767427,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05687203791469,36.0,0.0,0,0,0,7596,211,193,316,11394,0,0,0,0,632,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.217-10.42.0.208-2152-2152-17,10.42.0.217,2152,10.42.0.208,2152,17,15/08/2025 03:39:17 PM,119552824,653,0,23508.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,196.6327453712009,5.462020704755582,183363.226993865,151902.58311908162,860580.0,34647.0,119552824.0,183363.226993865,151902.58311908162,860580.0,34647.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5224,0,5.462020704755582,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.055130168453296,36.0,0.0,0,0,0,23508,653,196,0,0,0,0,0,0,652,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152,10.42.0.208,2152,17,15/08/2025 03:39:18 PM,119637363,647,0,23292.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,194.68834330626296,5.408009536285082,185197.1563467493,160441.64538349488,1166936.0,33709.0,119637363.0,185197.1563467493,160441.64538349488,1166936.0,33709.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5176,0,5.408009536285082,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.05564142194745,36.0,0.0,0,0,0,7764,215,198,323,11646,0,0,0,0,646,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.219-10.42.0.208-2152-2152-17,10.42.0.219,2152,10.42.0.208,2152,17,15/08/2025 03:41:17 PM,59414728,325,0,11700.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,196.92087120217064,5.470024200060295,183378.7901234567,157035.51793807556,995725.0,33761.0,59414728.0,183378.7901234567,157035.51793807556,995725.0,33761.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2600,0,5.470024200060295,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.11076923076923,36.0,0.0,0,0,0,11700,325,196,0,0,0,0,0,0,324,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
10.42.0.220-10.42.0.208-2152-2152-17,10.42.0.220,2152,10.42.0.208,2152,17,15/08/2025 03:41:18 PM,59098276,329,0,11844.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,200.41193756650364,5.5669982657362125,180177.6707317074,147350.94073488982,726923.0,34842.0,59098276.0,180177.6707317074,147350.94073488982,726923.0,34842.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2632,0,5.5669982657362125,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,36.109422492401215,36.0,0.0,0,0,0,11844,329,200,0,0,0,0,0,0,328,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRUTEFORCE
