Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.45.0.43-10.45.0.1-0-0-0,10.45.0.43,0,10.45.0.1,0,0,24/08/2025 01:48:09 PM,114771509,6229,1169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45850598688216,15515.953629850008,849254.0359490034,68589201.0,4.0,114771334.0,18428.280989081548,925517.4721062796,68589483.0,20.0,114771313.0,98263.11044520524,2136104.5867162324,68589354.0,43.0,0,0,0,0,0,0,54.273051337157206,10.18545464972496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1557,0,292,0,0,0,0,0,545076.5,291106.7951897837,980114.0,368990.0,27893617.25,27226196.05297664,68589201.0,11831524.0,DDoS
10.45.0.44-10.45.0.1-0-0-0,10.45.0.44,0,10.45.0.1,0,0,24/08/2025 01:48:11 PM,114261581,4779,989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.48065981162994,19813.001734003763,1034830.6459969912,72211509.0,1.0,114261148.0,23914.01172038508,1136876.354791507,72211583.0,17.0,114261311.0,115649.1002024292,2499006.9158473536,72211722.0,33.0,0,0,0,0,0,0,41.825082045731534,8.655577765898407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1593,0,329,0,0,0,0,0,797249.0,376419.28856927616,1017648.0,362612.0,37142083.66666667,31924037.964127365,72211509.0,9771429.0,DDoS
10.45.0.41-10.45.0.1-0-0-0,10.45.0.41,0,10.45.0.1,0,0,24/08/2025 01:48:13 PM,107955750,7741,1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.44364473406928,11307.819210223137,539917.5077002994,39939317.0,6.0,107955750.0,13947.771317829503,599618.6418047114,39939317.0,12.0,107953795.0,59775.08028792921,1240828.4785830502,39955382.0,16.0,0,0,0,0,0,0,71.70530518291059,16.738339551158692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1290,0,301,0,0,0,0,0,788798.0,353228.40480700304,1013621.0,193608.0,19931690.2,14037703.333407898,39939317.0,7878861.0,DDoS
10.45.0.48-10.45.0.1-0-0-0,10.45.0.48,0,10.45.0.1,0,0,24/08/2025 01:48:25 PM,104622746,5818,1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.3503375069127,14632.55188811194,802009.9424767876,64223853.0,0.0,104622746.0,17985.6878115867,889148.5479870528,64223853.0,11.0,104619385.0,78543.0818318319,1857411.031577319,64225269.0,29.0,0,0,0,0,0,0,55.60932227873277,12.74101522817992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1454,0,333,0,0,0,0,0,679530.25,447346.4425516128,1006799.0,18455.0,25233298.75,26159952.43169743,64223853.0,9163317.0,DDoS
10.45.0.46-10.45.0.1-0-0-0,10.45.0.46,0,10.45.0.1,0,0,24/08/2025 01:48:23 PM,83654126,6464,1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.45668881891132,10368.632374814131,436390.5046651308,25430405.0,1.0,83654126.0,12943.54417453197,487552.45283447206,25430524.0,10.0,83649069.0,52150.292394015,978059.2235755367,25430656.0,23.0,0,0,0,0,0,0,77.27054610552024,19.18614271339109,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1077,0,267,0,0,0,0,0,2166703.75,2856453.170528488,6416023.0,232463.0,18671385.75,6611434.133518707,25430405.0,9876704.0,DDoS
10.45.0.40-10.45.0.1-0-0-0,10.45.0.40,0,10.45.0.1,0,0,24/08/2025 01:48:07 PM,96519763,9507,2067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.91326584587657,8340.08148276159,377895.95406724233,27558881.0,-32.0,96519763.0,10153.562276457003,416944.6763146708,27558881.0,11.0,96486976.0,46702.311713455965,893682.5911368659,27563936.0,17.0,0,0,0,0,0,0,98.4979625364393,21.41530330943726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1358,0,295,0,0,0,0,0,1108619.3333333333,996307.4239419613,3001713.0,46637.0,14810786.166666666,8164888.753547237,27558881.0,7115161.0,DDoS
10.45.0.42-10.45.0.1-0-0-0,10.45.0.42,0,10.45.0.1,0,0,24/08/2025 01:48:37 PM,97821255,12735,2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.90498460687303,6455.996238120377,301691.501530354,23407189.0,4.0,97820704.0,7681.852049630942,329079.4504233031,23407242.0,12.0,97821051.0,40472.09391808015,754705.1246413328,23407418.0,45.0,0,0,0,0,0,0,130.18643034174934,24.71855426512367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1415,0,268,0,0,0,0,0,1311966.4285714286,1029728.0031313862,3053520.0,340569.0,12624438.57142857,6593369.143412237,23407189.0,5202429.0,DDoS
10.45.0.47-10.45.0.1-0-0-0,10.45.0.47,0,10.45.0.1,0,0,24/08/2025 01:48:17 PM,116522117,10465,2090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.7477849119408,9281.67253465032,464703.0621190716,32296208.0,1.0,116522117.0,11135.523413608567,508984.2882819771,32296208.0,13.0,116519485.0,55777.63762565821,1138377.4737652263,32300335.0,24.0,0,0,0,0,0,0,89.81127591425413,17.93650899768668,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1744,0,348,0,0,0,0,0,1211018.8,1067703.33685144,3014886.0,156292.0,21960838.4,8646514.600009492,32296208.0,11173238.0,DDoS
10.45.0.45-10.45.0.1-0-0-0,10.45.0.45,0,10.45.0.1,0,0,24/08/2025 01:48:27 PM,112622617,7937,1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.96299429802808,11500.318288573402,501155.60281487607,40633566.0,1.0,112622617.0,14191.357988911295,556683.4620924989,40633566.0,12.0,112621400.0,60679.63362068971,1150354.4072153138,40634225.0,30.0,0,0,0,0,0,0,70.47429913655797,16.488695161470098,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1133,0,265,0,0,0,0,0,469407.7142857143,344744.1379263343,1023493.0,29857.0,15488603.999999998,11411562.739082877,40633566.0,7289075.0,DDoS
10.45.0.39-10.45.0.1-0-0-0,10.45.0.39,0,10.45.0.1,0,0,24/08/2025 01:49:06 PM,61352582,3865,868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14426753873211,12965.46534234995,678440.071652887,44126157.0,5.0,61352582.0,15877.99741200831,750771.7154045864,44126157.0,16.0,61347712.0,70758.60668973462,1584584.410078275,44130543.0,24.0,0,0,0,0,0,0,62.996533707415935,14.14773383131618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1932,0,434,0,0,0,0,0,809639.5,237720.10744676183,977733.0,641546.0,29666790.0,20448632.91472997,44126157.0,15207423.0,DDoS
