Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.64-151.101.1.111-51190-443-6,10.42.0.64,51190,151.101.1.111,443,6,07/04/2025 11:38:26 AM,184436,15,16,831.0,5392.0,517.0,0.0,55.400000000000006,130.06910251313118,2696.0,0.0,337.0,775.7259825479614,33740.70138150903,168.07998438482727,6147.866666666667,11915.36075461602,46521.0,6.0,149546.0,10681.857142857143,17102.04206815955,47562.0,38.0,137915.0,9194.333333333334,14220.234776375464,39990.0,6.0,0,0,0,0,488,520,81.32902470233577,86.7509596824915,0.0,2696.0,194.46875,565.57353045097,319873.41834677424,2,2,0,14,30,0,0,0,1.0,200.7419354838709,55.4,337.0,0,0,0,6223,14,47828,0,0,0,0,65280,285,8,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-51086-80-6,10.42.0.64,51086,80.249.99.148,80,6,07/04/2025 11:38:12 AM,11064,2,2,0.0,4044.0,0.0,0.0,0.0,0.0,2696.0,1348.0,2022.0,953.179941039466,365509.7613882864,361.532899493854,3688.0,5782.0591487808215,10364.0,276.0,11064.0,11064.0,0.0,11064.0,11064.0,276.0,276.0,0.0,276.0,276.0,0,0,0,0,40,64,180.76644974692687,180.76644974692687,0.0,2696.0,808.8,1205.6878534678865,1453683.1999999995,0,0,2,1,2,0,0,0,1.0,1011.0,0.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,07/04/2025 12:52:15 PM,115201085,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388875807897121,7680072.333333331,7861046.267629271,25089058.0,924.0,115201085.0,7680072.333333331,7861046.267629271,25089058.0,924.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1388875807897121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3071593.333333333,887147.5825849571,4095983.0,2558961.0,12928161.625,7383453.871080389,25089058.0,5631054.0,BENIGN
80.249.99.148-10.42.0.64-80-60422-6,80.249.99.148,80,10.42.0.64,60422,6,07/04/2025 12:58:52 PM,19413518,9015,3671,18955576.0,0.0,4044.0,1348.0,2102.6706600110947,687.3219892333492,0.0,0.0,0.0,0.0,976411.1790557489,653.4621906240795,1530.431060307451,4838.453449334325,133429.0,1.0,19411405.0,2153.4729309962345,6171.907792332874,134145.0,1.0,19412933.0,5289.62752043596,10033.394020327092,135898.0,13.0,1,0,0,0,288480,123056,464.3671487053506,189.095041918729,0.0,4044.0,1494.2006778592277,1115.723241372173,1244838.3513380282,1,0,0,6877,12686,0,0,0,0.0,1494.318461295917,2102.6706600110924,0.0,0,0,0,18955576,9015,976517,0,0,0,0,509,3068,9014,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-40060-80-6,10.42.0.64,40060,80.249.99.148,80,6,07/04/2025 11:40:43 AM,5009,2,2,0.0,2696.0,0.0,0.0,0.0,0.0,1348.0,1348.0,1348.0,0.0,538231.1838690357,798.5625873427829,1669.6666666666663,2442.661731254112,4474.0,6.0,5009.0,5009.0,0.0,5009.0,5009.0,6.0,6.0,0.0,6.0,6.0,0,0,0,0,40,64,399.2812936713914,399.2812936713914,0.0,1348.0,539.2,738.3300075169639,545131.2,0,0,2,1,2,0,0,0,1.0,674.0,0.0,1348.0,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-32978-80-6,10.42.0.64,32978,80.249.99.148,80,6,07/04/2025 12:24:43 PM,29888903,2140,5293,100.0,10223232.0,100.0,0.0,0.0467289719626168,2.161688505835585,4044.0,0.0,1931.462686567162,672.5651743954899,342044.4035701143,248.68761493186955,4021.6500269106655,27837.12133225303,2268293.0,1.0,29888903.0,13973.306685367015,53246.29160431021,2273166.0,15.0,29829391.0,5636.695200302343,33074.72686148008,2272559.0,1.0,0,0,0,0,74796,169384,71.59847920815294,177.0891357237166,0.0,4044.0,1375.2128060263635,1042.6366034988334,1087091.0869555834,1,2,1,3597,7431,0,0,0,2.0,1375.3978205300689,0.0467289719626168,1931.462686567164,0,0,0,5111666,2646,371001,2140,100,5293,10223232,65280,509,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
23.202.116.162-10.42.0.64-443-36652-6,23.202.116.162,443,10.42.0.64,36652,6,07/04/2025 12:01:40 PM,1034,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.2359767891685,1034.0,0.0,1034.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,967.117988394584,967.117988394584,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,506,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-47540-6,80.249.99.148,80,10.42.0.64,47540,6,07/04/2025 11:55:05 AM,762,1,1,1348.0,0.0,1348.0,1348.0,1348.0,0.0,0.0,0.0,0.0,0.0,1769028.871391076,2624.6719160104985,762.0,0.0,762.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,1312.3359580052493,1312.3359580052493,0.0,1348.0,898.6666666666667,778.2681628676155,605701.3333333333,0,0,1,0,1,0,0,0,1.0,1348.0,1348.0,0.0,0,0,0,0,0,0,0,0,0,0,509,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.41-151.101.128.81-47154-443-6,10.45.0.41,47154,151.101.128.81,443,6,07/04/2025 12:33:24 PM,784434,112,239,762.0,301486.0,509.0,0.0,6.803571428571432,48.80330798227586,1340.0,0.0,1261.44769874477,307.4875764125168,385307.1131541978,447.4563825637339,2241.24,8568.994635963707,118515.0,4.0,745100.0,6712.612612612612,14858.236408972987,120143.0,9.0,745361.0,3131.768907563023,10605.912999746197,118816.0,13.0,0,0,0,0,2966,7594,142.77810497760169,304.6782775861322,0.0,1340.0,858.6590909090914,639.5176180018684,408982.7837347837,2,2,0,127,350,0,0,0,2.0,861.105413105413,6.803571428571429,1261.44769874477,0,0,0,302248,237,413610,0,0,0,0,65280,285,8,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-41584-6,80.249.99.148,80,10.42.0.64,41584,6,07/04/2025 11:57:46 AM,540,2,1,5392.0,0.0,2696.0,2696.0,2696.0,0.0,0.0,0.0,0.0,0.0,9985185.185185185,5555.555555555556,270.0,16.97056274847714,282.0,258.0,282.0,282.0,0.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,3703.703703703704,1851.851851851852,0.0,2696.0,2022.0,1348.0,1817104.0,0,0,1,2,2,0,0,0,0.0,2696.0,2696.0,0.0,0,0,0,0,0,0,0,0,0,0,509,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.64.155.249-10.42.0.64-443-32988-6,172.64.155.249,443,10.42.0.64,32988,6,07/04/2025 11:48:36 AM,869512,3,14,2398.0,1433.0,2398.0,0.0,799.3333333333334,1384.4859455167227,517.0,0.0,102.35714285714285,177.7113507230874,4405.919642282108,19.551196533227834,54344.49999999999,102639.398475764,295847.0,15.0,437043.0,218521.5,300345.7266293296,430898.0,6145.0,868418.0,66801.38461538462,111561.34712012226,295847.0,15.0,0,0,0,0,104,448,3.450211152922559,16.100985380305275,0.0,2398.0,212.8333333333333,568.3968425213453,323074.97058823507,1,1,0,11,17,0,0,0,4.0,225.35294117647047,799.3333333333334,102.35714285714286,0,0,0,3831,11,4430,0,0,0,0,65535,63,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.40-151.101.65.164-57160-443-6,10.45.0.40,57160,151.101.65.164,443,6,07/04/2025 11:51:32 AM,3718117,185,415,764.0,537667.0,509.0,0.0,4.129729729729734,38.06579590474025,1340.0,0.0,1295.5831325301208,233.61756436849507,144812.81788604285,161.3720063139487,6207.207011686144,21061.800641796995,264651.0,13.0,3447423.0,18735.99456521739,34065.81578276566,237612.0,16.0,3488855.0,8427.185990338161,23052.40095444193,266192.0,13.0,0,0,0,0,4864,13236,49.75636861346752,111.6156377004812,0.0,1340.0,895.8918469217965,628.5977409680082,395135.1199500832,2,2,0,200,599,0,0,0,2.0,897.385,4.129729729729729,1295.5831325301206,0,0,0,538431,413,154699,0,0,0,0,65280,285,8,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-60862-6,80.249.99.148,80,10.42.0.64,60862,6,07/04/2025 11:48:40 AM,691,3,1,4044.0,0.0,1348.0,1348.0,1348.0,0.0,0.0,0.0,0.0,0.0,5852387.843704776,5788.712011577424,230.3333333333333,370.6161536324791,658.0,3.0,33.0,16.5,19.091883092036785,30.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,96,20,4341.534008683068,1447.178002894356,0.0,1348.0,1078.4,602.8439267339434,363420.8000000001,0,0,1,2,3,0,0,0,0.0,1348.0,1348.0,0.0,0,0,0,0,0,0,0,0,0,0,509,0,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-46858-80-6,10.42.0.64,46858,80.249.99.148,80,6,07/04/2025 11:17:51 AM,18221,2,4,0.0,8088.0,0.0,0.0,0.0,0.0,2696.0,1348.0,2022.0,778.2681628676155,443883.4312057516,329.2903792327534,3644.2,5299.120842177502,12234.0,43.0,18221.0,18221.0,0.0,18221.0,18221.0,12322.0,4107.333333333334,7037.89985246546,12234.0,43.0,0,0,0,0,40,128,109.76345974425114,219.52691948850227,0.0,2696.0,1155.428571428571,1212.8433338156055,1470988.9523809522,0,0,2,3,4,0,0,0,2.0,1348.0,0.0,2022.0,0,0,0,8088,4,656386,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
80.249.99.148-10.42.0.64-80-32914-6,80.249.99.148,80,10.42.0.64,32914,6,07/04/2025 11:23:13 AM,472,2,1,5392.0,0.0,2696.0,2696.0,2696.0,0.0,0.0,0.0,0.0,0.0,11423728.813559322,6355.932203389831,236.0,55.15432893255071,275.0,197.0,275.0,275.0,0.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,4237.28813559322,2118.64406779661,0.0,2696.0,2022.0,1348.0,1817104.0,0,0,1,2,2,0,0,0,0.0,2696.0,2696.0,0.0,0,0,0,0,0,0,0,0,0,0,509,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-10.42.0.99-36159-5201-6,10.42.0.64,36159,10.42.0.99,5201,6,07/04/2025 12:48:10 PM,44048762,14910,5440,20041725.0,0.0,1348.0,0.0,1344.1800804828945,63.54585450193788,0.0,0.0,0.0,0.0,454989.5182071178,461.9880122851125,2164.6647009680983,20546.60895588767,2682033.0,-1.0,44048651.0,2954.500704272581,23970.372076365897,2682033.0,12.0,44048701.0,8098.676411104983,39791.36563652081,2685005.0,14.0,0,0,0,0,477128,174136,338.4885141607385,123.49949812437409,0.0,1348.0,984.802958085601,597.4039302805019,356891.4559145908,2,2,0,146,20349,0,0,0,0.0,984.8513513513514,1344.1800804828974,0.0,0,0,0,10020862,7453,485229,14910,20041725,5440,0,65280,657,14907,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.50-151.101.193.140-0-0-0,10.45.0.50,0,151.101.193.140,0,0,07/04/2025 11:35:05 AM,15,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,133333.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-45806-80-6,10.42.0.64,45806,80.249.99.148,80,6,07/04/2025 11:55:41 AM,12776,2,8,0.0,20220.0,0.0,0.0,0.0,0.0,2696.0,1348.0,2527.5,476.589970519733,1582654.9780839074,782.7175954915467,1419.5555555555552,2923.1191436165886,8360.0,1.0,12776.0,12776.0,0.0,12776.0,12776.0,348.0,49.71428571428572,79.29000417394843,197.0,1.0,0,0,0,0,40,256,156.54351909830933,626.1740763932373,0.0,2696.0,1838.181818181818,1246.1131423897125,1552797.9636363634,0,0,2,7,8,0,0,0,4.0,2022.0,0.0,2527.5,0,0,0,20220,8,58103448,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-151.101.193.140-43634-443-6,10.42.0.64,43634,151.101.193.140,443,6,07/04/2025 11:47:48 AM,57,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.50-162.159.152.4-33520-443-6,10.45.0.50,33520,162.159.152.4,443,6,07/04/2025 12:14:16 PM,4305,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.5760743321719,4305.0,0.0,4305.0,4305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,26,232.288037166086,232.288037166086,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63,9,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.43-185.15.59.224-0-0-0,10.45.0.43,0,185.15.59.224,0,0,07/04/2025 11:15:34 AM,121,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16528.92561983471,121.0,0.0,121.0,121.0,121.0,121.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16528.92561983471,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.32-185.15.59.224-0-0-0,10.45.0.32,0,185.15.59.224,0,0,07/04/2025 11:26:11 AM,25,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.45.0.52-10.42.0.99-36587-5201-6,10.45.0.52,36587,10.42.0.99,5201,6,07/04/2025 12:16:39 PM,48045638,38437,8598,51466193.0,0.0,1340.0,0.0,1338.975284231352,33.139311694767805,0.0,0.0,0.0,0.0,1071193.871959823,978.9650415298888,1021.508653314626,10783.208123436883,2123955.0,-3.0,48045518.0,1250.0134769487076,11984.176508977713,2123985.0,9.0,48045429.0,5588.627311852959,25213.210429156778,2128354.0,12.0,0,0,0,0,1229972,223684,800.0101903111372,178.95485121875166,0.0,1340.0,1094.1872820818023,518.4081889717239,268747.05039294256,2,2,0,117,47034,0,0,0,0.0,1094.2105453385775,1338.9752842313396,0.0,0,0,0,25733096,19217,1121934,38437,51466193,8598,0,65280,1004,38434,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-41626-80-6,10.42.0.64,41626,80.249.99.148,80,6,07/04/2025 12:39:21 PM,21254,2,4,0.0,9436.0,0.0,0.0,0.0,0.0,2696.0,1348.0,2359.0,674.0,443963.4892255576,282.2998023901383,4250.8,5469.9459503728185,11433.0,38.0,21254.0,21254.0,0.0,21254.0,21254.0,8940.0,2980.0,5093.961523215502,8862.0,38.0,0,0,0,0,40,128,94.09993413004612,188.19986826009225,0.0,2696.0,1347.9999999999998,1348.0,1817104.0,0,0,2,3,4,0,0,0,2.0,1572.6666666666667,0.0,2359.0,0,0,0,9436,4,1055480,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-54300-80-6,10.42.0.64,54300,80.249.99.148,80,6,07/04/2025 12:53:38 PM,5227,2,3,0.0,4044.0,0.0,0.0,0.0,0.0,1348.0,1348.0,1348.0,0.0,773675.1482686053,956.5716472163764,1306.75,2131.8499595421813,4485.0,3.0,5227.0,5227.0,0.0,5227.0,5227.0,177.0,88.5,120.91525958289962,174.0,3.0,0,0,0,0,40,96,382.6286588865506,573.9429883298259,0.0,1348.0,674.0,738.3300075169639,545131.2,0,0,2,1,3,0,0,0,1.0,808.8,0.0,1348.0,0,0,0,0,0,0,0,0,0,0,0,509,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-58770-80-6,10.42.0.64,58770,80.249.99.148,80,6,07/04/2025 11:39:42 AM,18,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111112,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,111111.11111111112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-44634-80-6,10.42.0.64,44634,80.249.99.148,80,6,07/04/2025 12:31:16 PM,113,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17699.11504424779,113.0,0.0,113.0,113.0,113.0,113.0,0.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,17699.11504424779,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
10.42.0.64-80.249.99.148-60388-80-6,10.42.0.64,60388,80.249.99.148,80,6,07/04/2025 12:24:35 PM,28,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
