Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.198.81.1-8.8.8.8-41806-54321-17,10.198.81.1,41806,8.8.8.8,54321,17,16/04/2025 11:26:43 AM,6158,7,0,1064.0,0.0,152.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,172783.3712244235,1136.7327054238388,1026.3333333333333,180.7779485077388,1327.0,786.0,6158.0,1026.3333333333333,180.7779485077388,1327.0,786.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,1136.7327054238388,0.0,152.0,152.0,152.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,173.71428571428572,152.0,0.0,0,0,0,1064,7,172783,0,0,0,0,0,0,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.2.6.83-8.8.8.8-24683-54321-17,10.2.6.83,24683,8.8.8.8,54321,17,16/04/2025 11:24:14 AM,6719,6,0,660.0,0.0,110.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,98228.90311058192,892.9900282780176,1343.8,312.28944906928893,1747.0,1031.0,6719.0,1343.8,312.28944906928893,1747.0,1031.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0,892.9900282780176,0.0,110.0,110.0,110.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,128.33333333333334,110.0,0.0,0,0,0,660,6,98228,0,0,0,0,0,0,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.105.15.183-8.8.8.8-17083-54321-17,10.105.15.183,17083,8.8.8.8,54321,17,16/04/2025 11:24:10 AM,12693,7,0,903.0,0.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,71141.5740959584,551.4850705113055,2115.5,285.9515693259962,2454.0,1799.0,12693.0,2115.5,285.9515693259962,2454.0,1799.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,551.4850705113055,0.0,129.0,129.0,129.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,147.42857142857142,129.0,0.0,0,0,0,903,7,71141,0,0,0,0,0,0,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.185.152.184-8.8.8.8-58284-54321-17,10.185.152.184,58284,8.8.8.8,54321,17,16/04/2025 11:25:51 AM,2600,3,0,462.0,0.0,154.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,177692.3076923077,1153.8461538461538,1300.0,151.32085117392117,1407.0,1193.0,2600.0,1300.0,151.32085117392117,1407.0,1193.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,1153.8461538461538,0.0,154.0,154.0,154.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,205.3333333333333,154.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.94.2.31-8.8.8.8-12051-54321-17,10.94.2.31,12051,8.8.8.8,54321,17,16/04/2025 11:26:16 AM,6913,8,0,1064.0,0.0,133.0,133.0,133.0,0.0,0.0,0.0,0.0,0.0,153912.91769130624,1157.2399826414005,987.5714285714286,141.1935517211004,1237.0,822.0,6913.0,987.5714285714286,141.1935517211004,1237.0,822.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,1157.2399826414005,0.0,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,149.625,133.0,0.0,0,0,0,1064,8,153912,0,0,0,0,0,0,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.109.231.137-8.8.8.8-62567-54321-17,10.109.231.137,62567,8.8.8.8,54321,17,16/04/2025 11:27:59 AM,6564,7,0,511.0,0.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,77848.87263863497,1066.4229128580134,1094.0,142.2476713341909,1301.0,866.0,6564.0,1094.0,142.2476713341909,1301.0,866.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,1066.4229128580134,0.0,73.0,73.0,73.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.42857142857143,73.0,0.0,0,0,0,511,7,77848,0,0,0,0,0,0,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.154.189.201-8.8.8.8-5681-54321-17,10.154.189.201,5681,8.8.8.8,54321,17,16/04/2025 11:25:54 AM,15836,9,0,1422.0,0.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,89795.40287951504,568.3253346804748,1979.5,175.85464777155354,2391.0,1836.0,15836.0,1979.5,175.85464777155354,2391.0,1836.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,0,568.3253346804748,0.0,158.0,158.0,158.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,175.55555555555554,158.0,0.0,0,0,0,1422,9,89795,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.245.195.196-8.8.8.8-58940-54321-17,10.245.195.196,58940,8.8.8.8,54321,17,16/04/2025 11:31:49 AM,6022,7,0,798.0,0.0,114.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,132514.11491198937,1162.4045167718366,1003.6666666666666,163.50983660522283,1308.0,829.0,6022.0,1003.6666666666666,163.50983660522283,1308.0,829.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,1162.4045167718366,0.0,114.0,114.0,114.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,130.28571428571428,114.0,0.0,0,0,0,798,7,132514,0,0,0,0,0,0,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.145.118.253-8.8.8.8-12296-54321-17,10.145.118.253,12296,8.8.8.8,54321,17,16/04/2025 11:23:11 AM,776,2,0,276.0,0.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,355670.1030927835,2577.319587628866,776.0,0.0,776.0,776.0,776.0,776.0,0.0,776.0,776.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,2577.319587628866,0.0,138.0,138.0,138.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,207.0,138.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
10.65.70.116-8.8.8.8-23148-54321-17,10.65.70.116,23148,8.8.8.8,54321,17,16/04/2025 11:26:29 AM,9109,9,0,864.0,0.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,94851.24602041936,988.0338127127015,1138.625,163.5874056451605,1456.0,852.0,9109.0,1138.625,163.5874056451605,1456.0,852.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,0,988.0338127127015,0.0,96.0,96.0,96.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,106.66666666666669,96.0,0.0,0,0,0,864,9,94851,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTP_ENCAPSULATION
